min_n,t20,t60,n6,signals_per_year,win6,avg6,avg6_net20bps,brk60_6_rate,worst6,ret_dd_efficiency
1500,0.01,0.01,4052,122.78787878787878,0.5893385982230998,0.0811389084734851,0.0791389084734851,0.4035044422507404,-0.1495618064409077,0.5291384903454822
3000,0.01,0.01,4052,122.78787878787878,0.5893385982230998,0.0811389084734851,0.0791389084734851,0.4035044422507404,-0.1495618064409077,0.5291384903454822
5000,0.0075,0.005,5095,154.3939393939394,0.5823356231599608,0.0744132292367869,0.0724132292367869,0.4013738959764475,-0.14728765531358,0.49164493169924445
