n_pick,n6,win6,avg6,avg6_net20bps,avg12,avg_score,avg_brk60_6_rate,avg_worst6
10,3160,0.5392405063291139,0.06357434152725092,0.061574341527250914,0.10937886925970654,4.290822784810127,0.49683544303797467,-0.15225161737841023
20,6320,0.533386075949367,0.06090070946055791,0.05890070946055791,0.11490172469492725,4.024841772151898,0.44841772151898734,-0.15265607772057055
30,9393,0.535718087937826,0.060516070005712526,0.058516070005712524,0.11512845706152211,3.8446715639305866,0.43787927179814756,-0.15327749978367158
50,15139,0.5399299821652686,0.06211510903992603,0.06011510903992603,0.11957679028971784,3.5882158663055685,0.4230134090758967,-0.15135139406977796
