timeframe,code,dt,entry_next_open,regime_loose,regime_stack,regime_strong,slope20_3,slope60_3,dist_close_ma20,dist_close_ma60,pb_depth_ma20,above20_streak,upclose_streak,ret_1m,dd_1m,ma60_break_1m,ret_3m,dd_3m,ma60_break_3m,ret_6m,dd_6m,ma60_break_6m
daily,1001,1995-01-12,19408.0,True,True,False,0.0034200643776825536,-0.0013693222154760704,-0.002154031225741519,-0.0013137449276754013,0.005547015972732815,0,0,-0.05755358615004122,-0.08810799670239076,1.0,-0.16719909315746084,-0.21393239901071723,1.0,-0.21393239901071723,-0.26344806265457543,1.0
daily,1001,1995-01-13,19322.0,True,False,False,0.0037651436862328343,-0.0016420952004048493,-0.007378804294803038,-0.004834001719442645,0.010767816705777276,0,0,-0.052220267053100095,-0.08404927026187765,1.0,-0.15805817203188074,-0.21043370251526758,1.0,-0.16090466825380395,-0.2601697546837802,1.0
daily,1001,1995-01-17,19231.0,True,False,False,0.0030905577157149724,-0.0017936873859126412,-0.01278591292033949,-0.008857489459355777,0.020687319781223422,0,0,-0.05683531797618428,-0.07971504341947896,1.0,-0.1501221985336176,-0.20669751962976443,1.0,-0.15542613488638135,-0.2566689199729603,1.0
daily,1001,1995-01-18,19218.0,True,False,False,0.0022311445154456796,-0.0018214061529911443,-0.013967469082291592,-0.009130521439715277,0.015095946202417982,0,0,-0.06384639400561973,-0.07909251743157457,1.0,-0.14465605161827452,-0.20616089083151212,1.0,-0.13685086897700072,-0.2561660942866063,1.0
daily,1001,1995-05-15,16606.0,True,False,False,0.0021484956023450153,-0.005226359480389181,-0.003975940462840205,-0.003115077816924743,0.018728298741251988,0,1,-0.10797302179934963,-0.1123088040467301,1.0,0.0005419727809225581,-0.13916656630133686,1.0,0.05227026376008671,-0.13916656630133686,1.0
daily,1001,1995-05-16,16403.0,True,False,False,0.0011018076249890295,-0.005009590499623159,-0.017081713929273986,-0.014799844897705685,0.017321625641763788,0,0,-0.10997988172895203,-0.11101627751021155,1.0,0.026519539108699627,-0.1285130768761812,1.0,0.09906724379686643,-0.1285130768761812,1.0
daily,1001,1995-05-17,16501.0,True,False,False,0.0019175311561302917,-0.0044357525047870406,-0.0133580927279262,-0.008509724683017169,0.02006708997244519,0,1,-0.11156899581843524,-0.11629598206169323,1.0,0.017453487667414096,-0.13368886734137325,1.0,0.09302466517180777,-0.13368886734137325,1.0
daily,1001,1995-08-01,16319.0,True,True,False,0.018455895174750176,-0.0015486487115030916,0.0002721121713634488,0.0391298870009243,0.001806947115458067,20,0,0.11128132851277651,-0.0027575219069795945,0.0,0.08621851829156198,-0.0027575219069795945,1.0,0.2661927814204302,-0.0027575219069795945,1.0
daily,1001,1995-08-02,16799.0,True,True,False,0.01758559249681387,-0.001197190620878716,0.01653387483622683,0.0622448817521958,0.010581801490146205,21,1,0.07048038573724627,-0.017381987023037084,0.0,0.032025715816417645,-0.017381987023037084,1.0,0.2256086671825704,-0.017381987023037084,1.0
daily,1001,1995-08-04,16804.0,True,True,True,0.012397919717737129,0.000685003297967934,0.01115587419894546,0.06273170483977457,-0.005176277308335844,23,0,0.07831468697929064,-0.01767436324684599,0.0,0.05058319447750535,-0.01767436324684599,1.0,0.23851463937157819,-0.01767436324684599,1.0
