group,n_6m,avg_ret_6m,avg_ret_6m_net_20bps,avg_ret_6m_net_50bps
baseline_regime,66660,0.0667595661857129,0.0647595661857129,0.0617595661857129
baseline_touch6low,15775,0.085889440339974,0.083889440339974,0.080889440339974
strategy_box,367,0.0398359901457358,0.0378359901457358,0.0348359901457358
