rule,n6,signals_per_year,win6,avg6,avg6_net20bps,worst6,ret_dd_efficiency,brk60_6_rate
touch20_and_slope,5670,171.8181818181818,0.5788359788359788,0.0725950145642359,0.0705950145642359,-0.1459076249213984,0.483833621459235,0.3959435626102293
touch20,46512,1409.4545454545455,0.5532765737874097,0.0725853323326458,0.0705853323326458,-0.151783071949554,0.46504087330703947,0.2273176814585483
touch20_and_box_and_slope,101,3.060606060606061,0.7029702970297029,0.0533009653058993,0.0513009653058993,-0.0798471476835812,0.6424896416988507,0.5544554455445545
between,17221,521.8484848484849,0.510365251727542,0.0477836148236657,0.0457836148236657,-0.1524580098987802,0.3003031120113815,0.4168166773125835
touch20_and_box,341,10.333333333333334,0.6304985337243402,0.040767295520544,0.038767295520544,-0.0787823136450502,0.4920812010574876,0.4633431085043988
