code,origin_gidx,signal_gidx,lag_days,p60v_strong
1540,60298,60298,0,False
1540,60357,60361,4,False
1540,60647,60647,0,False
1540,60736,60737,1,False
1540,60773,60783,10,False
1540,61008,61009,1,False
1540,61042,61052,10,False
1540,61160,61160,0,False
1540,61706,61706,0,False
1540,61805,61807,2,False
1540,61811,61812,1,False
1540,61868,61868,0,False
1540,61942,61942,0,False
1540,62060,62068,8,False
1540,62156,62156,0,False
1540,62919,62928,9,False
1540,63028,63037,9,False
1540,63114,63120,6,False
1540,63165,63168,3,False
1540,63315,63315,0,False
1540,63323,63323,0,False
1540,63432,63432,0,False
1540,63658,63658,0,False
1540,63735,63737,2,False
1540,63792,63797,5,False
1545,64110,64113,3,False
1545,64119,64123,4,False
1545,64127,64136,9,False
1545,64259,64261,2,False
1545,64275,64275,0,False
1545,64277,64282,5,False
1545,64478,64480,2,False
1545,64642,64649,7,False
1545,64680,64681,1,False
1545,64687,64693,6,False
1545,64799,64799,0,False
1545,64923,64925,2,False
1545,65029,65032,3,False
1545,65083,65086,3,False
1545,65102,65103,1,False
1545,65144,65149,5,False
1545,65332,65333,1,False
1545,65336,65336,0,False
1545,65435,65438,3,False
1545,66177,66177,0,False
1545,66179,66179,0,False
1545,66418,66422,4,False
1545,66527,66535,8,False
1545,66571,66577,6,False
1545,66660,66661,1,False
1545,67128,67130,2,False
1545,67293,67295,2,False
1545,67483,67488,5,False
1545,67721,67726,5,False
1605,67954,67954,0,True
1605,68446,68448,2,False
1605,68597,68602,5,False
1605,68613,68616,3,False
1605,69581,69583,2,False
1605,69603,69603,0,False
1605,69765,69770,5,False
1605,69935,69945,10,False
1605,70302,70303,1,False
1605,70335,70337,2,False
1605,70925,70935,10,False
1605,71340,71341,1,False
1605,71415,71416,1,False
1605,71472,71474,2,False
1605,71570,71572,2,False
1605,71806,71808,2,False
1605,72023,72029,6,False
1655,73324,73327,3,False
1655,73565,73566,1,False
1655,73839,73840,1,False
1655,73842,73842,0,False
1655,73929,73935,6,False
1655,74631,74631,0,False
1662,74703,74710,7,False
1662,74725,74733,8,False
1662,74739,74740,1,False
1662,75099,75104,5,False
1662,75741,75743,2,False
1662,76145,76146,1,False
1662,76150,76154,4,False
1662,76162,76163,1,False
1662,76449,76455,6,False
1662,76786,76790,4,False
1662,76938,76938,0,False
1662,77757,77758,1,False
1662,78414,78419,5,False
1662,78472,78479,7,False
1662,78519,78526,7,False
1662,78796,78802,6,False
1662,79243,79250,7,False
1662,79255,79255,0,False
1662,79365,79372,7,False
1662,79507,79509,2,False
1662,79648,79651,3,False
1662,79752,79754,2,False
1671,80179,80180,1,False
1671,80431,80434,3,False
1671,80464,80464,0,False
1671,80731,80740,9,False
1671,81011,81018,7,False
1671,81158,81164,6,False
1671,81167,81168,1,False
1671,81173,81173,0,False
1671,81202,81206,4,False
1671,81232,81237,5,False
1671,81704,81707,3,False
1671,81910,81915,5,False
1671,82043,82052,9,False
1671,82196,82196,0,False
1671,82952,82952,0,False
1671,82995,82998,3,False
1671,83689,83690,1,False
1671,83796,83798,2,False
1671,84050,84050,0,False
1671,84056,84060,4,False
1671,84063,84063,0,False
1711,84941,84948,7,False
1711,86117,86124,7,False
1711,86902,86903,1,False
1711,86915,86915,0,False
1711,86979,86987,8,False
1711,87027,87029,2,False
1711,87336,87339,3,False
1711,87353,87353,0,True
1711,87602,87602,0,False
1711,87946,87947,1,False
1711,87954,87957,3,False
1711,88280,88283,3,False
1711,88759,88759,0,False
1717,89660,89662,2,False
1717,90187,90189,2,False
1717,90200,90200,0,False
1717,90275,90276,1,False
1717,90737,90739,2,False
1717,90956,90956,0,False
1719,92206,92213,7,False
1719,92331,92331,0,False
1719,93327,93333,6,False
1719,93591,93591,0,False
1719,93594,93594,0,False
1719,93897,93899,2,False
1719,94219,94225,6,False
1719,94523,94529,6,False
1719,94884,94884,0,False
1719,94891,94892,1,False
1719,95332,95332,0,False
1719,95337,95338,1,False
1719,95391,95391,0,False
1719,95512,95517,5,False
1719,95764,95764,0,False
1719,95791,95796,5,False
1719,96292,96298,6,False
1719,96414,96422,8,False
1720,97046,97046,0,False
1720,97644,97648,4,False
1720,97653,97657,4,False
1720,98275,98281,6,False
1720,98581,98581,0,False
1720,98801,98806,5,False
1720,98816,98819,3,False
1720,98869,98869,0,False
1720,98914,98915,1,False
1720,98920,98923,3,False
1720,98937,98937,0,False
1720,99194,99202,8,False
1720,99253,99253,0,False
1720,99345,99345,0,False
1720,99594,99595,1,False
1720,99615,99625,10,False
1720,99672,99673,1,False
1720,100021,100022,1,False
1720,100038,100038,0,False
1720,100704,100705,1,False
1720,100726,100727,1,False
1720,100908,100912,4,False
1720,101236,101236,0,True
1720,101315,101320,5,False
1720,101486,101493,7,False
1720,101525,101534,9,False
1721,102047,102049,2,False
1721,102075,102075,0,False
1721,102221,102226,5,False
1721,102273,102276,3,False
1721,102384,102384,0,False
1721,103117,103123,6,False
1721,103257,103267,10,False
1721,103343,103350,7,False
1721,103965,103965,0,False
1721,104392,104392,0,False
1721,104578,104578,0,False
1721,104642,104643,1,False
1721,104866,104868,2,False
1721,104877,104877,0,False
1721,105066,105066,0,False
1721,105677,105679,2,False
1721,105863,105863,0,False
1721,105954,105961,7,False
1721,106107,106110,3,False
1721,106218,106222,4,False
1721,106244,106247,3,False
1721,106491,106498,7,False
1721,106579,106579,0,False
1721,106594,106595,1,False
1721,106614,106615,1,False
1721,106750,106751,1,False
1721,106758,106758,0,False
1721,106760,106760,0,False
1721,106963,106966,3,False
1721,107111,107116,5,True
1721,107179,107180,1,False
176A,107617,107622,5,False
176A,107643,107644,1,False
1801,108465,108469,4,False
1801,108635,108643,8,False
1801,109663,109667,4,False
1801,109680,109683,3,False
1801,110033,110034,1,False
1801,110082,110086,4,False
1801,110182,110183,1,False
1801,110198,110202,4,False
1801,110486,110486,0,False
1801,110611,110614,3,False
1801,110751,110756,5,False
1801,110897,110903,6,False
1801,111572,111575,3,False
1801,112085,112094,9,False
1801,112222,112223,1,False
1801,112383,112386,3,False
1801,112466,112474,8,False
1801,112541,112550,9,False
1801,112768,112769,1,False
1801,112895,112895,0,False
1801,112954,112956,2,False
1801,112975,112980,5,False
1801,113105,113115,10,False
1801,113129,113129,0,False
1801,113236,113240,4,False
1801,113253,113254,1,False
1801,113288,113289,1,False
1801,113476,113476,0,False
1801,113486,113487,1,False
1801,113638,113645,7,False
1801,113798,113798,0,True
1801,113931,113939,8,False
1801,114169,114170,1,False
1801,114471,114472,1,False
1801,114598,114598,0,False
1801,114783,114791,8,False
1801,114905,114907,2,False
1801,115198,115202,4,False
1801,115302,115304,2,False
1801,115367,115368,1,False
1801,115415,115417,2,False
1802,116410,116410,0,False
1802,116448,116449,1,False
1802,116584,116585,1,False
1802,117088,117088,0,False
1802,117117,117120,3,False
1802,117156,117159,3,False
1802,117308,117308,0,False
1802,117916,117918,2,False
1802,118033,118034,1,False
1802,118274,118279,5,False
1802,118480,118481,1,False
1802,118750,118756,6,False
1802,118811,118817,6,False
1802,118973,118976,3,False
1802,118982,118983,1,False
1802,118994,118994,0,False
1802,119488,119495,7,False
1802,119858,119858,0,False
1802,119992,119995,3,False
1802,120153,120153,0,False
1802,120349,120350,1,False
1802,120396,120398,2,False
1802,120476,120481,5,False
1802,120544,120544,0,False
1802,120791,120792,1,False
1802,120866,120869,3,False
1802,120872,120876,4,False
1802,120904,120905,1,False
1802,121005,121012,7,False
1802,121024,121025,1,False
1802,121200,121208,8,False
1802,121939,121939,0,False
1802,122045,122045,0,False
1802,122052,122052,0,False
1802,122343,122344,1,False
1802,122550,122559,9,False
1802,122701,122706,5,False
1802,122981,122988,7,True
1802,123004,123007,3,False
1803,123487,123495,8,False
1803,123575,123575,0,False
1803,123749,123758,9,False
1803,123912,123912,0,False
1803,124685,124694,9,False
1803,124926,124933,7,False
1803,124957,124960,3,False
1803,125133,125135,2,False
1803,125331,125338,7,False
1803,126026,126028,2,False
1803,126437,126442,5,False
1803,126776,126779,3,False
1803,126970,126970,0,True
1803,127446,127446,0,False
1803,127682,127691,9,False
1803,127763,127772,9,False
1803,127923,127926,3,False
1803,128010,128013,3,False
1803,128083,128087,4,False
1803,128165,128168,3,False
1803,128244,128254,10,False
1803,128469,128476,7,False
1803,128490,128492,2,False
1803,128511,128520,9,False
1803,128550,128552,2,False
1803,128774,128775,1,False
1803,129474,129476,2,False
1803,129810,129818,8,False
1803,130019,130020,1,False
1803,130133,130133,0,False
1803,130210,130216,6,False
1803,130219,130226,7,False
1803,130320,130323,3,False
1803,130606,130608,2,False
1803,130804,130806,2,False
1808,131488,131492,4,False
1808,131505,131505,0,False
1808,131685,131685,0,False
1808,132426,132431,5,False
1808,132821,132823,2,False
1808,133821,133830,9,False
1808,134106,134110,4,False
1808,134213,134214,1,False
1808,135636,135644,8,False
1808,135713,135717,4,False
1808,135807,135807,0,False
1808,135852,135860,8,False
1808,135935,135938,3,False
1808,136259,136261,2,False
1808,136467,136471,4,False
1808,136690,136690,0,False
1808,136860,136860,0,False
1808,137166,137176,10,False
1808,137781,137787,6,False
1808,137797,137800,3,False
1808,137803,137803,0,False
1808,138090,138099,9,False
1808,138128,138128,0,False
1808,138344,138349,5,False
1808,138384,138394,10,False
1808,138462,138467,5,False
1808,138708,138708,0,True
1808,138884,138884,0,False
1812,139013,139015,2,False
1812,139034,139034,0,False
1812,139130,139130,0,False
1812,139184,139184,0,False
1812,139435,139441,6,False
1812,140174,140175,1,False
1812,140227,140233,6,False
1812,140390,140390,0,False
1812,140618,140619,1,False
1812,140769,140770,1,False
1812,140964,140965,1,False
1812,141343,141344,1,False
1812,142098,142100,2,False
1812,142106,142106,0,False
1812,142652,142655,3,False
1812,143168,143177,9,False
1812,143204,143204,0,False
1812,143220,143230,10,False
1812,143302,143312,10,False
1812,143410,143417,7,False
1812,143549,143557,8,False
1812,143561,143561,0,False
1812,143622,143631,9,False
1812,143706,143708,2,False
1812,144214,144215,1,False
1812,144316,144320,4,False
1812,144334,144334,0,False
1812,144398,144399,1,False
1812,144728,144728,0,False
1812,145012,145014,2,False
1812,145055,145063,8,False
1812,145505,145512,7,False
1812,145548,145552,4,False
1812,145647,145648,1,False
1812,145864,145871,7,False
1812,145963,145970,7,False
1812,145981,145981,0,True
1812,146018,146019,1,False
1812,146147,146150,3,False
1812,146279,146280,1,False
1812,146288,146288,0,False
1812,146423,146423,0,True
1812,146427,146427,0,False
1833,147096,147097,1,False
1833,147144,147153,9,False
1833,147503,147506,3,False
