segment,n,mean,std,ci95_low,ci95_high
baseline,193957,-0.00793409310984313,0.1099719365617614,-0.008423517056916288,-0.007444669162769974
hanging_all,2127,-0.009606174683346297,0.09072293567587306,-0.013461752042995585,-0.005750597323697008
hanging_pre7,99,0.003909046235259232,0.09364633329628491,-0.01453810258447507,0.022356195054993533
