cnt60_bin,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
0-9,97318,0.3369160895209519,0.2735978955588894,0.18231981750549744,0.006725629332123895,0.024442441866495152
10-19,18435,0.34076484947111474,0.2767561703281801,0.17868185516680227,0.0029773484908416836,0.02294005190956008
20-29,13242,0.2980667572874188,0.23606705935659267,0.158208729799124,0.008622928826097564,0.024174508445574817
30-39,10355,0.30758087880251084,0.25784645098986,0.17662964751327861,0.0031069784785469285,0.024242168233898263
40-49,7653,0.30066640533124267,0.2514046779040899,0.18842284071605905,0.007805049097281547,0.02988274319694485
50-54,3009,0.3220338983050847,0.2901296111665005,0.18810235958790295,0.006109821232467362,0.03991645293431458
55-59,2655,0.3672316384180791,0.28173258003766477,0.16836158192090395,0.0016375170826668304,0.04829922981432916
60,19161,0.3314545169876311,0.2469077814310318,0.11606909869004749,0.010210768361954578,0.03911804164362643
