direction,code,signal_month_text,signal_date_text,entry_month_text,entry_price,tp_price,exit_price,exit_rule,ret_net_assumed,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
up,7202,2001-09,2001-09-28,2001-10,248.0,297.6,234.0,month_close,-0.0564516129032257,0.5863315422587901,0.4552492672342855,0.1553304703339916,0.15,0.3,0.14,20260214053343_m1
up,7261,2001-09,2001-09-28,2001-10,800.0,960.0,960.0,tp20,0.1999999999999999,0.5713273330670608,0.5247920241711937,0.1595030357502061,0.15,0.3,0.14,20260214053343_m1
up,7282,2001-09,2001-09-28,2001-10,1200.0,1440.0,1440.0,tp20,0.1999999999999999,0.3644718797686021,0.3115238147218445,0.1467069431832451,0.15,0.3,0.14,20260214053343_m1
up,7532,2001-09,2001-09-28,2001-10,24.9583339691162,29.95000076293944,29.95000076293944,tp20,0.1999999999999999,0.4441416150463894,0.3328444118121721,0.1479861790086648,0.15,0.3,0.14,20260214053343_m1
up,7550,2001-09,2001-09-28,2001-10,182.375,218.85,179.625,month_close,-0.0150788211103495,0.5176716229525515,0.3165825132547336,0.1470104650952185,0.15,0.3,0.14,20260214053343_m1
up,7638,2001-09,2001-09-28,2001-10,20.2520236968994,24.30242843627928,19.8019790649414,month_close,-0.0222222054789963,0.6412414012493228,0.5548571844607517,0.1613069453675796,0.15,0.3,0.14,20260214053343_m1
up,7992,2001-09,2001-09-28,2001-10,1900.0,2280.0,2280.0,tp20,0.1999999999999999,0.3899633189117385,0.3490766044246204,0.1489601105654117,0.15,0.3,0.14,20260214053343_m1
up,8035,2001-09,2001-09-28,2001-10,1393.33337402344,1672.000048828128,1672.000048828128,tp20,0.1999999999999999,0.6054912582815457,0.5450182609280833,0.1607166099556194,0.15,0.3,0.14,20260214053343_m1
up,8136,2001-09,2001-09-28,2001-10,314.666687011719,377.6000244140628,377.6000244140628,tp20,0.1999999999999999,0.3756205690882296,0.3415953447354252,0.14851123498406,0.15,0.3,0.14,20260214053343_m1
up,8585,2001-09,2001-09-28,2001-10,2840.0,3408.0,2680.0,month_close,-0.0563380281690141,0.4412165351111247,0.306582632056772,0.1464104722233408,0.15,0.3,0.14,20260214053343_m1
up,8595,2001-09,2001-09-28,2001-10,2183.33349609375,2620.0001953125,2620.0001953125,tp20,0.1999999999999999,0.4747730911218372,0.4019499879612263,0.152132513577608,0.15,0.3,0.14,20260214053343_m1
up,9697,2001-09,2001-09-28,2001-10,307.5,369.0,369.0,tp20,0.1999999999999999,0.3965867321782272,0.3701428383407101,0.1502240846003771,0.15,0.3,0.14,20260214053343_m1
up,9766,2001-09,2001-09-28,2001-10,2895.0,3474.0,3474.0,tp20,0.1999999999999999,0.4396077471298176,0.3949587724284327,0.1517130406456404,0.15,0.3,0.14,20260214053343_m1
up,9984,2001-09,2001-09-28,2001-10,87.9166717529297,105.50000610351564,105.50000610351564,tp20,0.1999999999999999,0.4091909134519855,0.3860231163766731,0.1511769012825349,0.15,0.3,0.14,20260214053343_m1
