group,n_6m,win_rate_6m,avg_ret_6m,median_ret_6m,ma60_break_rate_6m,avg_best_ret_6m,avg_worst_ret_6m
baseline_regime,66660,0.5449444944494449,0.06675956618571298,0.02180260935258516,0.37392739273927394,0.2569973627801715,-0.150676496430557
baseline_touch6low,15775,0.5808557844690967,0.085889440339974,0.03753026634382567,0.18554675118858954,0.2718892078409182,-0.14725530166187226
strategy_box,367,0.6212534059945504,0.03983599014573589,0.0258130649520082,0.45231607629427795,0.1269657755527477,-0.07934793938231713
