signal,n_6m,ma60_break_rate_6m,avg_best_ret_6m,avg_worst_ret_6m
regime_ma20_lt_ma60,65770,0.37307282955754906,0.25825389390303616,-0.15157042956115227
between_ma20_ma60,17221,0.4168166773125835,0.2341832592844747,-0.1524580098987802
touch_ma20_in_regime,46512,0.22731768145854833,0.26702558053558506,-0.151783071949554
box_no_touch,1460,0.6294520547945206,0.1606227111508647,-0.0779702759675115
box_bottom,363,0.4573002754820937,0.1271089977785638,-0.07985538290893407
between_and_box_bottom,160,0.5375,0.13282332297905283,-0.08403618388971927
between_not_box_bottom,17061,0.41568489537541764,0.23513382430462987,-0.15309967757133455
