combo_key_t_b_box_s20_s60,score,n6,win6,avg6,avg6_net20bps,avg12,brk60_6_rate,worst6
11111,6,51,0.7254901960784313,0.07028367344074617,0.06828367344074616,0.1593845268438665,0.6470588235294118,-0.08282849241136317
11011,5,2150,0.5544186046511628,0.06185875992960965,0.05985875992960965,0.1442753616564418,0.43348837209302327,-0.15213639018470573
10111,5,50,0.68,0.0359786030083556,0.0339786030083556,0.15590549151643968,0.46,-0.07680617606124375
10011,4,3419,0.5905235448961684,0.07991635017100365,0.07791635017100365,0.11531392060264709,0.3676513600467973,-0.14394221482631472
10101,4,59,0.711864406779661,0.06877099038176546,0.06677099038176545,0.144904774167154,0.4915254237288136,-0.06273582446748857
11001,4,4086,0.5266764561918746,0.06245651624086305,0.06045651624086305,0.16661716956938544,0.35291238374938816,-0.1478861275820659
11010,4,617,0.5348460291734197,0.03911568363936913,0.03711568363936913,0.02938513273404517,0.5040518638573744,-0.13502181274720082
10001,3,25137,0.5707124955245256,0.08978156380665452,0.08778156380665451,0.1778046817369023,0.13625333174205354,-0.15272490365596705
01011,3,3461,0.5377058653568333,0.06577689608974378,0.06377689608974378,0.1552452648902752,0.5015891360878358,-0.15932376595024828
10010,3,1290,0.541860465116279,0.04706748595702456,0.04506748595702456,0.07459664699483634,0.5356589147286822,-0.13371267795883152
11000,3,1682,0.4768133174791914,0.03476508167037189,0.03276508167037189,0.0655631012358009,0.40130796670630203,-0.1445777363357391
10100,3,51,0.49019607843137253,0.007001371896541081,0.005001371896541081,0.06789497984715215,0.2549019607843137,-0.08065189268126195
00011,2,3858,0.5876101607050285,0.0906780663205248,0.0886780663205248,0.1971597879852576,0.9580093312597201,-0.14419856325979455
10000,2,7790,0.510783055198973,0.038587188545896975,0.03658718854589697,0.0750806031467264,0.2159178433889602,-0.1632030315953034
01010,2,1269,0.4988179669030733,0.03387242241869436,0.03187242241869436,0.06951470252324225,0.4830575256107171,-0.15367735654453363
01001,2,2348,0.47018739352640543,0.02739350642997622,0.025393506429976218,0.12652312539015853,0.36839863713798976,-0.16078121207047932
00001,1,472,0.5677966101694916,0.08965299616133497,0.08765299616133497,0.2242854673645224,0.9364406779661016,-0.13503078521407205
00010,1,5233,0.5134721956812536,0.0451734219394519,0.043173421939451895,0.09306047394698658,0.9673227594114274,-0.14653993335368706
01000,1,1448,0.4233425414364641,0.007065418103502476,0.005065418103502476,0.05061558620794092,0.35773480662983426,-0.15900485256564653
00000,0,1147,0.5300784655623365,0.04183479895790339,0.039834798957903386,0.06863317058314776,0.8927637314734089,-0.14458995980279785
