pre_bull_streak_min,n,avg_ret_1m,win_rate_1m
3,223,-0.009691314687287917,0.5022421524663677
5,66,-0.010103809402836098,0.5151515151515151
7,20,-0.0035378400538853627,0.5
9,6,0.04882493665178316,0.8333333333333334
