pattern,horizon,n,win_rate,avg_ret,med_ret,avg_ret_net_20bps
sakata_bullish,ret_1m,6695,0.5236743838685586,0.0072073262078912,0.0039893617021276,0.0052073262078912
sakata_bullish,ret_3m,6695,0.5453323375653473,0.0272166557596117,0.0142566191446028,0.025216655759611697
sakata_bullish,ret_6m,6545,0.5572192513368984,0.058651082804463635,0.0237529691211401,0.05665108280446363
sakata_bearish,ret_1m,5857,0.5169882192248592,0.007055585280271292,0.0035005834305717,0.005055585280271292
sakata_bearish,ret_3m,5857,0.5332081270274884,0.025003860936026374,0.0092526690391459,0.023003860936026375
sakata_bearish,ret_6m,5739,0.5683917058721032,0.05759546431847733,0.0271041369472182,0.055595464318477325
three_white_soldiers,ret_1m,644,0.4968944099378882,0.0035895175030799457,0.0,0.0015895175030799457
three_white_soldiers,ret_3m,644,0.562111801242236,0.030140032054076966,0.01790351742274815,0.028140032054076967
three_white_soldiers,ret_6m,626,0.5734824281150159,0.06312212645869138,0.033393163751987254,0.061122126458691375
three_black_crows,ret_1m,872,0.5103211009174312,0.008117409022579295,0.00219311377055445,0.006117409022579295
three_black_crows,ret_3m,872,0.5435779816513762,0.02828881510889045,0.01056270815955705,0.026288815108890452
three_black_crows,ret_6m,851,0.5710928319623971,0.06476845715725155,0.0257234384107199,0.06276845715725154
rising_three_methods,ret_1m,2,0.5,0.024310462495088298,0.024310462495088298,0.0223104624950883
rising_three_methods,ret_3m,2,0.5,-0.12594873880643315,-0.12594873880643315,-0.12794873880643315
rising_three_methods,ret_6m,2,0.5,-0.17669290850056185,-0.17669290850056185,-0.17869290850056185
falling_three_methods,ret_1m,2,0.5,-0.0186499022725284,-0.0186499022725284,-0.0206499022725284
falling_three_methods,ret_3m,2,0.5,-0.04669535283993115,-0.04669535283993115,-0.04869535283993115
falling_three_methods,ret_6m,2,0.5,0.022875229732489295,0.022875229732489295,0.020875229732489294
morning_star,ret_1m,6050,0.5264462809917355,0.007576227271284795,0.00444692731906385,0.0055762272712847945
morning_star,ret_3m,6050,0.5434710743801653,0.026903268481851067,0.013836449319064751,0.024903268481851065
morning_star,ret_6m,5918,0.5554241297735721,0.0581696531696741,0.0232109604814551,0.0561696531696741
evening_star,ret_1m,4983,0.5181617499498294,0.006880088726350565,0.0038095238095238,0.004880088726350565
evening_star,ret_3m,4983,0.5314067830624122,0.024457787965690113,0.0090702947845804,0.02245778796569011
evening_star,ret_6m,4886,0.567949242734343,0.056360348387936,0.0273972602739726,0.054360348387936
bull_engulfing,ret_1m,4659,0.524146812620734,0.009372014442110152,0.004601226993865,0.007372014442110152
bull_engulfing,ret_3m,4659,0.5372397510195321,0.030084278853422696,0.0123287671232876,0.028084278853422698
bull_engulfing,ret_6m,4548,0.5503518029903254,0.06266237374582019,0.023189128689262498,0.06066237374582019
bear_engulfing,ret_1m,4242,0.5165016501650165,0.006754328524412543,0.0025496790537151,0.004754328524412543
bear_engulfing,ret_3m,4242,0.5287600188590288,0.02158424767012678,0.0086067322988793,0.01958424767012678
bear_engulfing,ret_6m,4144,0.5395752895752896,0.05750212564164222,0.0182505307337546,0.05550212564164222
hammer_like,ret_1m,5526,0.505971769815418,0.006716147695015012,0.00140757734246225,0.004716147695015012
hammer_like,ret_3m,5526,0.5298588490770901,0.023166127483221527,0.008920913246854251,0.021166127483221525
hammer_like,ret_6m,5433,0.5545739002392784,0.05449143013507486,0.0208816705336426,0.05249143013507486
shooting_star_like,ret_1m,3259,0.5262350414237497,0.009205728211861691,0.0037128712871287,0.007205728211861691
shooting_star_like,ret_3m,3259,0.53053083768027,0.03255280975597792,0.0092123445416858,0.03055280975597792
shooting_star_like,ret_6m,3190,0.558307210031348,0.06857342446817472,0.020252406848329303,0.06657342446817471
