pair,n_both_all,diff_ret3_all,diff_win_all,quarters_eval,ret_positive_quarters,win_positive_quarters,ret_positive_ratio,win_positive_ratio,mean_diff_ret3_q,mean_diff_win_q,worst_diff_ret3_q,best_diff_ret3_q
morning_star+sakata_bullish,2256,-0.005186501098151934,0.008877310867885124,24,12,15,0.5,0.625,-0.0028150963438067036,0.00972337360227172,-0.05356629346768414,0.0335626744293456
bear_marubozu+sakata_bearish,598,-0.013873285669847465,-0.026279942671186385,8,4,3,0.5,0.375,0.0011315945191927058,0.02752738970241847,-0.047725040743438044,0.042518440160304136
bull_marubozu+bull_engulfing,708,-0.008333557061107864,-0.011811969146464318,11,5,4,0.45454545454545453,0.36363636363636365,-0.0015590312985973348,-0.010788534219015327,-0.035140328068561544,0.02461289919032353
evening_star+sakata_bearish,1834,-0.008324728352008953,-0.009791181413917216,23,10,11,0.43478260869565216,0.4782608695652174,-0.006911229082658577,-0.012399357550065814,-0.039629030989317304,0.00879500427167021
bear_marubozu+bear_engulfing,641,-0.006236546122668246,-0.008083258697493712,7,3,3,0.42857142857142855,0.42857142857142855,-0.0033341498264323715,-0.007850961989485554,-0.038782477918894,0.04320303340315731
bull_marubozu+sakata_bullish,717,-0.010675703362664744,0.0007551441317521501,13,3,6,0.23076923076923078,0.46153846153846156,-0.016390060223886505,0.0037377630090687677,-0.05363036460438299,0.02637812770792608
bull_marubozu+morning_star,638,-0.01104297948612911,-0.0022890669518007556,9,2,5,0.2222222222222222,0.5555555555555556,-0.015234587241685242,0.008528855644092528,-0.049349784385296816,0.032352581259632404
bear_marubozu+evening_star,489,-0.012857713858423391,-0.021675455682131473,2,0,1,0.0,0.5,-0.024188333039791753,-0.015303439355517368,-0.03595424556227697,-0.012422420517306536
