regime,pdown_bin,n,pred_mean,actual_hit10,avg_ret20,calibration_gap
below_ma20,0.00-0.40,13726,0.30590466499015995,0.06498615765700132,-0.06052411340876595,-0.24091850733315862
below_ma20,0.40-0.50,25385,0.4519746730633648,0.12251329525310223,-0.027232825059347255,-0.3294613778102626
below_ma20,0.50-0.55,9214,0.5228035276294757,0.23713913609724332,-0.004968109637963926,-0.28566439153223233
below_ma20,0.55-0.60,4810,0.5704894173444705,0.3305613305613306,0.004698294571346077,-0.23992808678313987
below_ma20,0.60-0.65,1660,0.6223003913605032,0.5879518072289157,0.01892374128859497,-0.03434858413158748
below_ma20,0.65-0.70,1216,0.6739943847497926,0.803453947368421,0.0028928069488905555,0.12945956261862845
below_ma20,0.70-0.80,1500,0.73706126573632,0.878,0.038571246814843564,0.14093873426367998
below_ma20,0.80+,26,0.8080792616234427,0.8846153846153846,0.07693912178113646,0.0765361229919419
countertrend_upper,0.00-0.40,1450,0.3722006510300763,0.05931034482758621,-0.059198972635986204,-0.31289030620249014
countertrend_upper,0.40-0.50,4890,0.44838284681632185,0.1147239263803681,-0.05607369650171748,-0.33365892043595374
countertrend_upper,0.50-0.55,1997,0.5218766382606319,0.18377566349524285,-0.03027463770209268,-0.33810097476538903
countertrend_upper,0.55-0.60,639,0.5661900669296787,0.27699530516431925,-0.02845492154389955,-0.2891947617653594
countertrend_upper,0.60-0.65,72,0.6161639212955808,0.4166666666666667,-0.09246758960768792,-0.19949725462891416
countertrend_upper,0.65-0.70,49,0.6779772967948621,0.8367346938775511,0.029964401770449057,0.158757397082689
countertrend_upper,0.70-0.80,147,0.7450683233303639,0.9659863945578231,0.09002517077371235,0.2209180712274592
extended_uptrend,0.00-0.40,2309,0.3701504261415339,0.047206582936336075,-0.056921820889216115,-0.3229438432051978
extended_uptrend,0.40-0.50,7397,0.4480007526285241,0.09003650128430445,-0.04377409575845175,-0.35796425134421966
extended_uptrend,0.50-0.55,3053,0.5219988689855739,0.1444480838519489,-0.01072940814397301,-0.377550785133625
extended_uptrend,0.55-0.60,1155,0.5672435380518828,0.1696969696969697,0.007413266721995297,-0.3975465683549131
extended_uptrend,0.60-0.65,147,0.6200243327803231,0.47619047619047616,-0.07588996117649392,-0.14383385658984693
extended_uptrend,0.65-0.70,128,0.6750117534842307,0.7734375,-0.03887645322249133,0.0984257465157693
extended_uptrend,0.70-0.80,139,0.7323676351693494,0.7841726618705036,-0.034219079607217685,0.051805026701154167
other,0.00-0.40,13461,0.35181653540214997,0.07852314092563703,-0.02829471431726045,-0.2732933944765129
other,0.40-0.50,37659,0.4498106233010461,0.10534002496083274,-0.0345885391264483,-0.3444705983402134
other,0.50-0.55,11899,0.5232646673300329,0.2250609294898731,-0.01189009024220303,-0.29820373784015974
other,0.55-0.60,5791,0.570721658802658,0.33396649974097736,-0.0014190997368258259,-0.23675515906168065
other,0.60-0.65,1848,0.621061625885885,0.5963203463203464,0.016042761871051775,-0.02474127956553862
other,0.65-0.70,819,0.6729867791409097,0.7619047619047619,0.03857283830530437,0.08891798276385221
other,0.70-0.80,2429,0.753153486818875,0.8744339234252779,0.06926101853995574,0.12128043660640297
other,0.80+,450,0.8153324171436472,0.9311111111111111,0.08560972990016119,0.11577869396746387
