asof_date,phase,phase_date,slot,action,selected_code,selected_tier,selected_bucket,selected_name,selected_sector,selected_live_score,selected_p_up,selected_ev20_net,selected_turnover20,replaced_primary_code,replaced_primary_reasons
2026-03-05,2,2026-03-09,1,keep_primary,7453,primary,primary,良品計画,小売業,0.6224425753474088,0.5308150145801775,0.009962654946964872,16262900.75,,
2026-03-05,2,2026-03-09,2,keep_primary,6762,primary,primary,TDK,電気機器,0.6461551097160791,0.5401725819984631,0.02351920321735919,34506116.025,,
2026-03-05,2,2026-03-09,3,keep_primary,6361,primary,primary,荏原,機械,0.6163303004491609,0.5144625604619433,0.016763134670340293,16428565.45,,
