pattern,n_flag,n_nonflag,avg_ret3_flag,avg_ret3_nonflag,diff_flag_minus_nonflag,win3_flag,win3_nonflag,diff_win
reclaim60,18103,741176,0.02263531750676483,0.025318019219433253,-0.0026827017126684234,0.5247196597249075,0.5263608103878161,-0.001641150662908597
60v_core,16518,742761,0.025122565779440734,0.0252569814843036,-0.00013441570486286483,0.525426807119506,0.5263415822855535,-0.0009147751660475434
60v_strong,1207,758072,0.01787022454100349,0.0252658138076418,-0.00739558926663831,0.5062137531068766,0.5263536972741375,-0.020139944167260948
