run_len,count,share
1,24024,0.4965688300950806
2,12110,0.2503100454733361
3,5601,0.11577097974369574
4,3219,0.06653575857792476
5,1618,0.03344357172385283
6,813,0.01680446465481604
7,480,0.009921455146754857
8,248,0.005126085159156676
9,117,0.0024183546920214967
10,85,0.001756924348904506
11,38,0.0007854485324514262
12,14,0.00028937577511368333
13,8,0.00016535758577924763
14,2,4.133939644481191e-05
15,1,2.0669698222405953e-05
16,1,2.0669698222405953e-05
17,1,2.0669698222405953e-05
