cnt60_bin,n,hit10_20d,hit5_10d,avg_ret20,win20,lift_vs_baseline
0-9,85122,0.19326378609525152,0.27744883813820165,-0.023000809106712306,0.4149925988581095,1.0699875440053987
10-19,16936,0.19006849315068494,0.2892064241851677,-0.020129021244254863,0.41550543221539915,1.052297092425145
20-29,12482,0.16688030764300593,0.24635475084121133,-0.023091356451912008,0.4000160230732254,0.9239177919747505
30-39,9906,0.18211185140318997,0.2646880678376741,-0.022694556822464983,0.38976377952755903,1.008245862063048
40-49,7447,0.19041224654223177,0.251779239962401,-0.027363402039147614,0.3784074123808245,1.0542002521147902
50-54,2980,0.18791946308724833,0.28825503355704696,-0.03992177244236428,0.3446308724832215,1.040399181046978
55-59,2632,0.16527355623100304,0.2762158054711246,-0.04817594965180062,0.31648936170212766,0.9150221575059688
60,17974,0.11755869589406921,0.24535440080115722,-0.03810365080603107,0.34460887949260044,0.6508531310370682
