months_to_breakout,count,share
1.0,8027,0.33110588623520193
2.0,4948,0.20410015262137524
3.0,3276,0.13513179061997277
4.0,2102,0.08670544074578229
5.0,1583,0.0652971991915192
6.0,1135,0.046817638081095576
7.0,772,0.03184424369921214
8.0,595,0.02454316709978138
9.0,423,0.017448335602029453
10.0,300,0.012374706100730107
11.0,240,0.009899764880584087
12.0,197,0.008126057006146103
13.0,130,0.005362372643649713
14.0,97,0.004001154972569402
15.0,85,0.003506166728540197
16.0,69,0.002846182403167925
17.0,64,0.0026399373014890895
18.0,37,0.00152621375242338
19.0,34,0.001402466691416079
20.0,20,0.0008249804067153406
21.0,37,0.00152621375242338
22.0,23,0.0009487274677226416
23.0,24,0.0009899764880584086
24.0,25,0.0010312255083941757
