pair,n_both,avg_both,avg_only_a,avg_only_b,avg_none,expected_additive_both,synergy_vs_additive,win_both
f_touch20+f_s60_down,34976,0.08371749086220996,0.038833739342871716,0.06738311385361637,0.03715065123271357,0.03934236255375518,0.04437512830845478,0.5672175205855444
f_between+f_box_bottom,160,0.04306317229426201,0.04782788367101961,0.03714269422640012,0.07379956256497408,0.018096087254686824,0.024967085039575183,0.6375
f_box_bottom+f_s20_up,190,0.04739862515160865,0.031354541712343934,0.06329286787167382,0.06882695461379426,0.02777291894128485,0.0196257062103238,0.6210526315789474
f_s20_up+f_s60_down,12995,0.07609251956660672,0.043350406744440496,0.08164227047262909,0.03441638931344415,0.058118186574336685,0.017974332992270033,0.5702962677953058
f_between+f_s20_up,7594,0.05710415885174771,0.04043135437396649,0.0664582857209869,0.07652783515617857,0.04001514945222049,0.01708900939952722,0.5370028970239663
f_touch20+f_box_bottom,341,0.04076729552054407,0.07282032725484651,0.02401939647889172,0.05311488071293324,0.029965233091005322,0.010802062429538746,0.6304985337243402
f_between+f_s60_down,12129,0.05637934013562059,0.027308840214730054,0.0887431969473621,0.041620922940464405,0.04917754651935925,0.007201793616261339,0.5247753318492868
f_box_bottom+f_s60_down,193,0.049295261216940195,0.02891817105983345,0.08017611035517316,0.038167237776382944,0.04221979077227371,0.0070754704446664846,0.6839378238341969
f_touch20+f_between,8674,0.05500704776010311,0.07661498612994581,0.04045284878989273,0.06315897427964769,0.05019334427710564,0.004813703482997471,0.5266313119667974
f_touch20+f_s20_up,7649,0.06529509394772504,0.0740201941139355,0.06196789797916566,0.030393819166203904,0.06911360145036825,-0.0038185075026432175,0.5685710550398745
