reason,n,share_in_failures,avg_ret20,avg_max_rise5,avg_min_ret10
trend_continued_up,1432,0.4224188790560472,-0.0894239401046164,0.02050113119021168,-0.058667652569057295
stop_hit_5pct,1402,0.4135693215339233,-0.16170563584980696,0.14734124767221393,-0.02515364355916092
weak_extension,328,0.0967551622418879,0.029603907280122507,0.016246574075268277,-0.06853684280331612
turn_prob_not_high_enough,92,0.027138643067846607,0.0389622860889223,0.016911182881514296,-0.06648234222226669
other,81,0.023893805309734513,0.028979110279702392,0.013687653310699124,-0.06746018440960394
no_follow_through,55,0.016224188790560472,0.03915120228366966,0.03153481305591026,-0.020286801734596144
