direction,code,signal_month,signal_dt,entry_month,entry_price,tp_price,next_high,next_low,next_close,exit_price,exit_rule,ret_net_assumed,win,p_abs_big,p_side_big,p_side20,abs_gate,side_gate,target20_gate,model_version
down,1898,200109,1001635200,200110,680.0,544.0,700.0,580.0,600.0,600.0,month_close,0.11764705882352941,1,0.5905694999407451,0.33880791813702066,0.08576431557977893,0.32,0.3,0.08,20260214053343_m1
down,1929,200109,1001635200,200110,1556.0,1244.8000000000002,1760.0,1448.0,1524.0,1524.0,month_close,0.02056555269922879,1,0.5063954462174269,0.3505435640468842,0.08646845433437074,0.32,0.3,0.08,20260214053343_m1
down,2811,200109,1001635200,200110,1244.0,995.2,1250.0,1150.0,1170.0,1170.0,month_close,0.0594855305466238,1,0.3393901119796003,0.32502092304541774,0.08493709587428275,0.32,0.3,0.08,20260214053343_m1
down,3401,200109,1001635200,200110,2570.0,2056.0,2820.0,2190.0,2425.0,2425.0,month_close,0.05642023346303502,1,0.4064560657383912,0.33577404031621644,0.08558228291053067,0.32,0.3,0.08,20260214053343_m1
down,5101,200109,1001635200,200110,638.0,510.40000000000003,638.0,538.0,546.0,546.0,month_close,0.14420062695924765,1,0.38142314335649485,0.36097373745458194,0.08709426473883261,0.32,0.3,0.08,20260214053343_m1
down,5445,200109,1001635200,200110,785.0,628.0,1365.0,780.0,1110.0,1110.0,month_close,-0.4140127388535032,0,0.5587324690222211,0.3991036358125504,0.08938205864031071,0.32,0.3,0.08,20260214053343_m1
down,8358,200109,1001635200,200110,899.0,719.2,966.0,820.0,850.0,850.0,month_close,0.054505005561735265,1,0.4185982699524248,0.390932301818997,0.08889177860069751,0.32,0.3,0.08,20260214053343_m1
up,1808,200109,1001635200,200110,725.0,870.0,1000.0,650.0,750.0,870.0,tp20,0.19999999999999996,1,0.4451403243524123,0.34336317064193117,0.14861730453845037,0.15,0.3,0.14,20260214053343_m1
up,1861,200109,1001635200,200110,387.5,465.0,425.0,337.5,350.0,350.0,month_close,-0.09677419354838712,0,0.3355616260870833,0.30026675718584217,0.14603151973108502,0.15,0.3,0.14,20260214053343_m1
up,4004,200109,1001635200,200110,1210.0,1452.0,1540.0,1200.0,1440.0,1452.0,tp20,0.19999999999999996,1,0.35188666386600503,0.3060800638831134,0.1463803181329213,0.15,0.3,0.14,20260214053343_m1
up,4293,200109,1001635200,200110,23.0833339691162,27.70000076293944,35.0,23.1666679382324,30.8333358764648,27.70000076293944,tp20,0.19999999999999996,1,0.5157958607533655,0.3224438111503822,0.14736214296895742,0.15,0.3,0.14,20260214053343_m1
up,4776,200109,1001635200,200110,153.333343505859,184.0000122070308,236.66667175293,154.66667175293,198.0,184.0000122070308,tp20,0.19999999999999996,1,0.5161084504049352,0.3026047782645442,0.14617180099580715,0.15,0.3,0.14,20260214053343_m1
up,4784,200109,1001635200,200110,192.0,230.39999999999998,230.0,185.0,206.0,206.0,month_close,0.07291666666666674,1,0.6789661655927828,0.5151270649866965,0.15892313819913628,0.15,0.3,0.14,20260214053343_m1
up,5285,200109,1001635200,200110,143.0,171.6,150.0,130.0,136.0,136.0,month_close,-0.04895104895104896,0,0.469752497282321,0.3721489381127931,0.15034445058670207,0.15,0.3,0.14,20260214053343_m1
up,5541,200109,1001635200,200110,870.0,1044.0,1220.0,870.0,1040.0,1044.0,tp20,0.19999999999999996,1,0.3874175076194767,0.3066736483755766,0.1464159332024691,0.15,0.3,0.14,20260214053343_m1
up,5631,200109,1001635200,200110,770.0,924.0,880.0,745.0,775.0,775.0,month_close,0.006493506493506551,1,0.45554271703097665,0.32689054787295047,0.1476289471723115,0.15,0.3,0.14,20260214053343_m1
up,5727,200109,1001635200,200110,324.5,389.4,380.0,313.5,348.0,348.0,month_close,0.07241910631741133,1,0.4830479674049878,0.3444177936145656,0.1486805819168084,0.15,0.3,0.14,20260214053343_m1
up,6146,200109,1001635200,200110,1156.66674804688,1388.000097656256,1833.33337402344,1083.33337402344,1506.66674804688,1388.000097656256,tp20,0.19999999999999996,1,0.5975160732591347,0.5589575898371548,0.16155296969016378,0.15,0.3,0.14,20260214053343_m1
up,6315,200109,1001635200,200110,242.66667175293,291.200006103516,326.666687011719,239.66667175293,277.0,291.200006103516,tp20,0.19999999999999996,1,0.4103333151403412,0.3699551185378407,0.15021282141220493,0.15,0.3,0.14,20260214053343_m1
up,6324,200109,1001635200,200110,102.481491088867,122.9777893066404,113.59260559082,92.5926055908203,113.59260559082,113.59260559082,month_close,0.10842069513135777,1,0.5886031252969814,0.40556144026309887,0.15234920071572042,0.15,0.3,0.14,20260214053343_m1
up,6481,200109,1001635200,200110,1200.0,1440.0,1810.0,1173.0,1636.0,1440.0,tp20,0.19999999999999996,1,0.3822596357470655,0.34047439005278596,0.14844397770310164,0.15,0.3,0.14,20260214053343_m1
up,6506,200109,1001635200,200110,320.0,384.0,459.0,322.0,367.0,384.0,tp20,0.19999999999999996,1,0.4990302446659912,0.4186377401668786,0.1531337787099472,0.15,0.3,0.14,20260214053343_m1
up,6703,200109,1001635200,200110,3170.0,3804.0,4680.0,3080.0,4320.0,3804.0,tp20,0.19999999999999996,1,0.5088944443477749,0.3741601375607189,0.15046512255357763,0.15,0.3,0.14,20260214053343_m1
up,6857,200109,1001635200,200110,631.25,757.5,888.75,595.0,787.5,757.5,tp20,0.19999999999999996,1,0.4393597355495369,0.38626428359718284,0.15119137131576546,0.15,0.3,0.14,20260214053343_m1
up,6976,200109,1001635200,200110,1476.0,1771.2,1938.0,1390.0,1656.0,1771.2,tp20,0.19999999999999996,1,0.5068322556409487,0.44723227959867495,0.154849451075855,0.15,0.3,0.14,20260214053343_m1
up,7012,200109,1001635200,200110,1250.0,1500.0,1440.0,1230.0,1260.0,1260.0,month_close,0.008000000000000007,1,0.5123809772377139,0.39274444042991435,0.15158018072572935,0.15,0.3,0.14,20260214053343_m1
up,7013,200109,1001635200,200110,344.285736083984,413.14288330078074,384.285736083984,304.285736083984,322.857147216797,322.857147216797,month_close,-0.062240710611257355,0,0.5103645169032208,0.36781332739693695,0.1500843139437507,0.15,0.3,0.14,20260214053343_m1
up,7202,200109,1001635200,200110,248.0,297.59999999999997,260.0,208.0,234.0,234.0,month_close,-0.056451612903225756,0,0.5863315422587901,0.4552492672342855,0.1553304703339916,0.15,0.3,0.14,20260214053343_m1
