test_month,p_down_th,p_turn_th,train_n,train_hit10,train_stop5,train_avg_ret20,test_n,test_hit10,test_stop5,test_avg_ret20,test_baseline_hit10,test_baseline_stop5,test_baseline_avg_ret20,test_hit10_lift
2025-04,0.62,0.62,6502,0.8291294986158105,0.3191325745924331,0.0559144822276375,1757,0.8030734206033011,0.44906089926010245,-0.0241314779323127,0.1867222801529371,0.7751129648939868,-0.07549918424332863,4.300897675122296
2025-05,0.62,0.62,8092,0.8304498269896193,0.3373702422145329,0.040086627736752575,71,0.28169014084507044,0.9014084507042254,-0.2375291427964013,0.07445255474452554,0.5175182481751824,-0.03614359575544989,3.783485225075946
2025-08,0.52,0.62,1245,0.321285140562249,0.8224899598393575,-0.1154945052604253,180,0.5666666666666667,0.6888888888888889,0.011679689078545582,0.09985401459854015,0.5817518248175182,-0.029971553904560036,5.67495126705653
2025-09,0.55,0.6,214,0.5186915887850467,0.7757009345794392,-0.03532482522640858,867,0.47520184544405997,0.6805074971164936,-0.003711405176069592,0.15532846715328466,0.4002919708029197,0.0018899214775318128,3.059335189184033
2025-10,0.62,0.62,74,0.7432432432432432,0.7567567567567568,0.09438540834259448,26,0.5769230769230769,0.8076923076923077,0.03519090174115071,0.18394160583941604,0.576244193762442,-0.016607816557400477,3.1364468864468864
2026-01,0.58,0.62,229,0.6419213973799127,0.6157205240174672,0.07147750213215127,28,0.5714285714285714,0.7142857142857143,-0.017557045143808344,0.16910956394283622,0.6529864419201172,-0.045024100099398924,3.3790434917195475
