slope_combo,n_box,n_nonbox,avg_ret_box,avg_ret_nonbox,diff_avg_ret,ci95_low_diff,ci95_high_diff,win_box,win_nonbox,diff_win
up_down,57,5611,0.05795104040572934,0.06427556072273463,-0.00632452031700529,-0.04533235559695056,0.03268331496293998,0.6666666666666666,0.5441097843521654,0.12255688231450124
up_flat,23,987,0.05690716481130107,0.04892976989966037,0.0079773949116407,-0.05869673744263542,0.07465152726591681,0.6086956521739131,0.5521783181357649,0.05651733403814818
up_up,17,728,0.07460330331221648,0.042302068219468705,0.03230123509274778,-0.05063631442625466,0.11523878461175022,0.5882352941176471,0.5013736263736264,0.08686166774402071
flat_flat,16,317,0.005151376718843826,0.04994329043844163,-0.04479191371959781,-0.09122113992999187,0.0016373124907962458,0.5,0.5488958990536278,-0.04889589905362779
flat_down,15,1410,0.03875935988356349,0.048335069723740486,-0.009575709840176992,-0.081641992645799,0.062490572965445,0.7333333333333333,0.5269503546099291,0.20638297872340416
down_down,12,5024,-0.01891940578770881,0.05003280854842287,-0.06895221433613168,-0.15595179558768535,0.01804736691542201,0.5833333333333334,0.5001990445859873,0.08313428874734607
down_up,11,1058,-0.012841791396255091,0.024072883885828063,-0.036914675282083156,-0.12078471500154435,0.046955364437378036,0.5454545454545454,0.45935727788279773,0.08609726757174768
down_flat,8,1232,0.08565622905703965,0.014106274770034025,0.07154995428700563,-0.005604872730835028,0.14870478130484627,0.875,0.45616883116883117,0.41883116883116883
