t20,t60,n6,signals_per_year,win6,avg6,avg6_net20bps,brk60_6_rate,worst6
0.0,0.0,7687,232.93939393939394,0.57382593989853,0.06520074489747121,0.06320074489747121,0.38831793937817094,-0.1429007536774947
0.0,0.0025,7317,221.72727272727272,0.5750990843241766,0.06684858936317942,0.06484858936317942,0.3834905015716824,-0.14364969671812797
0.0,0.005,6911,209.42424242424244,0.5770510779916076,0.06855550774535475,0.06655550774535475,0.38084213572565473,-0.1447189488122389
0.0,0.0075,6489,196.63636363636363,0.5768223146863923,0.07016693491077754,0.06816693491077754,0.37540453074433655,-0.14575917203845912
0.0,0.01,6059,183.6060606060606,0.5804588215877208,0.07261458312569986,0.07061458312569986,0.37382406337679486,-0.14658479217168524
0.0025,0.0,6983,211.6060606060606,0.5748245739653444,0.06651383668238212,0.06451383668238211,0.3968208506372619,-0.1435895895096588
0.0025,0.0025,6652,201.57575757575756,0.5759170174383644,0.06811598752835353,0.06611598752835353,0.39116055321707754,-0.14436256457023314
0.0025,0.005,6280,190.3030303030303,0.5772292993630573,0.06967675507938091,0.06767675507938091,0.38805732484076433,-0.1454702482119229
0.0025,0.0075,5911,179.12121212121212,0.5768905430553206,0.07104772437847859,0.06904772437847859,0.383014718321773,-0.1465076545466141
0.0025,0.01,5518,167.21212121212122,0.5804639362087713,0.07370687293436659,0.07170687293436659,0.3812975715839072,-0.14725472278982163
0.005,0.0,6289,190.57575757575756,0.5773572905072348,0.0698182384644606,0.0678182384644606,0.4043568134838607,-0.14402128755929494
0.005,0.0025,5991,181.54545454545453,0.5780337172425305,0.07128312418331403,0.06928312418331403,0.3984309798030379,-0.14484445443341584
0.005,0.005,5670,171.8181818181818,0.5788359788359788,0.07259501456423599,0.07059501456423599,0.3959435626102293,-0.14590762492139842
0.005,0.0075,5344,161.93939393939394,0.5776571856287425,0.07368993257289809,0.07168993257289809,0.3907185628742515,-0.14698096963463225
0.005,0.01,4994,151.33333333333334,0.57989587505006,0.07601221920271284,0.07401221920271284,0.3882659191029235,-0.14789908624342932
0.0075,0.0,5653,171.3030303030303,0.5796921988324784,0.07143838954760746,0.06943838954760746,0.40934017335927825,-0.14555337604300972
0.0075,0.0025,5381,163.06060606060606,0.580932912098123,0.07315432255622115,0.07115432255622114,0.40364244564207397,-0.14628475635637847
0.0075,0.005,5095,154.3939393939394,0.5823356231599608,0.07441322923678698,0.07241322923678697,0.4013738959764475,-0.14728765531358
0.0075,0.0075,4807,145.66666666666666,0.5808196380278761,0.07524956386362221,0.0732495638636222,0.39712918660287083,-0.1484493264336615
0.0075,0.01,4493,136.15151515151516,0.5835744491431115,0.07766626399785337,0.07566626399785337,0.395281549076341,-0.14932175078356277
0.01,0.0,5088,154.1818181818182,0.5831367924528302,0.07389904178675562,0.07189904178675562,0.4158805031446541,-0.1462671921269532
0.01,0.0025,4841,146.6969696969697,0.5850030985333609,0.07601814968100166,0.07401814968100166,0.4104523858706879,-0.14688321106440866
0.01,0.005,4588,139.03030303030303,0.5865300784655624,0.07745916099553339,0.07545916099553339,0.40867480383609417,-0.14776200189277744
0.01,0.0075,4336,131.3939393939394,0.5867158671586716,0.07862796851807947,0.07662796851807947,0.40567343173431736,-0.1486430832402401
0.01,0.01,4052,122.78787878787878,0.5893385982230998,0.08113890847348512,0.07913890847348512,0.4035044422507404,-0.14956180644090775
