segment,n_1m,win_rate_1m,avg_ret_1m,median_ret_1m,n_3m,win_rate_3m,avg_ret_3m,median_ret_3m
hanging_all_entry_n2,2126,0.5216368767638758,-0.0022278030177833074,0.004013946808709888,2108,0.484819734345351,-0.021195074042707575,-0.003573500627992528
hanging_confirm_n1_low_break_entry_n2,429,0.5011655011655012,-0.004605153865153993,0.0013937282229965157,426,0.47183098591549294,-0.012194252713684677,-0.008577440532890255
hanging_confirm_n1_close_below_low_entry_n2,201,0.48258706467661694,-0.011334666407513369,-0.006666666666666667,200,0.47,-0.015268787533130218,-0.01566140548665915
