pattern,n,hit10_20d,hit5_10d,avg_ret20,win20,p95_ret20,p05_ret20,lift_vs_baseline
R2_consensus_plus_extension,336,0.7559523809523809,0.7946428571428571,0.02862425168076271,0.6994047619047619,0.28687663033627286,-0.29128027473615703,4.185262266784006
R1_model_consensus,11896,0.7150302622730329,0.8111129791526563,0.022868134672434655,0.6271856086079355,0.22077845909685756,-0.19782260365069781,3.958700642664562
R3_countertrend_upper_band,374,0.6978609625668449,0.8155080213903744,0.009300759012676473,0.7005347593582888,0.2746197387717057,-0.2947594317447259,3.863644361319321
R6_overheat_then_turn,2695,0.4352504638218924,0.5729128014842301,-0.03714861123100687,0.46641929499072354,0.23190985033066472,-0.3800522845653476,2.4097249889457686
