scenario,direction,n,month_median,win_rate,avg_ret,tp20_rate,worst,q05
top2pct_base,up,3424,11.0,0.670268691588785,0.0702671362052249,0.4453855140186916,-0.6422182468694096,-0.1999999999999999
top2pct_base,down,3424,11.0,0.5563668224299065,0.03677478791909433,0.31863317757009346,-0.1,-0.1
top2pct_liq50_p300,up,1132,4.0,0.8171378091872792,0.11913581260144429,0.5795053003533569,-0.4035087719298246,-0.13543240427194572
top2pct_liq50_p300,down,1982,7.0,0.5928355196770938,0.0467452244987927,0.3425832492431887,-0.1,-0.1
top2pct_liq70_p500,up,620,2.0,0.8516129032258064,0.13005400390777686,0.603225806451613,-0.3174904942965779,-0.10462565093524895
top2pct_liq70_p500,down,1160,4.0,0.5853448275862069,0.04445723300056169,0.35258620689655173,-0.1,-0.1
top2pct_short_cap95,down,3252,11.0,0.5642681426814268,0.0377073803833552,0.30565805658056583,-0.1,-0.1
top2pct_short_cap95_liq50_p300,down,1877,6.0,0.6046883324453916,0.04871596422968496,0.33137986148108683,-0.1,-0.1
top2pct_short_cap90_liq50_p300,down,1765,6.0,0.6135977337110482,0.049950294867210275,0.32237960339943345,-0.1,-0.1
