t20,t60,n6,signals_per_year,win6,avg6,avg6_net20bps,brk60_6_rate,worst6
0.01,0.01,4052,122.78787878787878,0.5893385982230998,0.08113890847348512,0.07913890847348512,0.4035044422507404,-0.14956180644090775
0.01,0.0075,4336,131.3939393939394,0.5867158671586716,0.07862796851807947,0.07662796851807947,0.40567343173431736,-0.1486430832402401
0.0075,0.01,4493,136.15151515151516,0.5835744491431115,0.07766626399785337,0.07566626399785337,0.395281549076341,-0.14932175078356277
0.01,0.005,4588,139.03030303030303,0.5865300784655624,0.07745916099553339,0.07545916099553339,0.40867480383609417,-0.14776200189277744
0.01,0.0025,4841,146.6969696969697,0.5850030985333609,0.07601814968100166,0.07401814968100166,0.4104523858706879,-0.14688321106440866
0.005,0.01,4994,151.33333333333334,0.57989587505006,0.07601221920271284,0.07401221920271284,0.3882659191029235,-0.14789908624342932
0.0075,0.0075,4807,145.66666666666666,0.5808196380278761,0.07524956386362221,0.0732495638636222,0.39712918660287083,-0.1484493264336615
0.0075,0.005,5095,154.3939393939394,0.5823356231599608,0.07441322923678698,0.07241322923678697,0.4013738959764475,-0.14728765531358
0.01,0.0,5088,154.1818181818182,0.5831367924528302,0.07389904178675562,0.07189904178675562,0.4158805031446541,-0.1462671921269532
0.0025,0.01,5518,167.21212121212122,0.5804639362087713,0.07370687293436659,0.07170687293436659,0.3812975715839072,-0.14725472278982163
0.005,0.0075,5344,161.93939393939394,0.5776571856287425,0.07368993257289809,0.07168993257289809,0.3907185628742515,-0.14698096963463225
0.0075,0.0025,5381,163.06060606060606,0.580932912098123,0.07315432255622115,0.07115432255622114,0.40364244564207397,-0.14628475635637847
