segment,n,hit_rate_full_retrace,avg_short_ret,med_short_ret,win_rate_short,gain_ge_10pct_rate,loss_le_-5pct_rate,avg_hold_months
all,21554,0.35250997494664565,-0.01074472654128256,-0.02505966983613635,0.42154588475456994,0.18766818223995546,0.37983668924561564,2.476477683956574
full_retrace,7598,1.0,0.09788543705253346,0.1015799720447284,0.9827586206896551,0.5151355619899973,0.0,2.280205317188734
not_full_retrace,13956,0.0,-0.06988573993952088,-0.0613926630634012,0.11600745199197478,0.009386643737460591,0.5866294067067928,2.5833333333333335
