pattern,horizon,n,win_rate,avg_ret,med_ret,avg_ret_net_20bps,avg_dd,ma60_break_rate
reclaim60,1m,30261,0.5109546941608011,0.007702966460437345,0.002857142857142857,0.005702966460437345,-0.06496943920098117,0.8211559432933478
reclaim60,3m,30117,0.5194408473619551,0.02367479637457724,0.006993006993006993,0.02167479637457724,-0.11015554494924139,0.9474051200318757
reclaim60,6m,29645,0.530747174903019,0.04841247574528549,0.015315890236119975,0.04641247574528549,-0.14936679941923067,0.9922077922077922
60v_core,1m,18886,0.5074658477178863,0.007108522503857488,0.001932383384863557,0.005108522503857488,-0.06325712166679391,0.714550460658689
60v_core,3m,18774,0.5223180994993075,0.024304600621741987,0.007435046987285794,0.022304600621741985,-0.10791361858219313,0.9153616703952274
60v_core,6m,18474,0.5356717548987766,0.0515106374523401,0.016962230592174096,0.0495106374523401,-0.14582535004029132,0.9878748511421457
60v_strong,1m,1238,0.5096930533117933,0.00748964975481906,0.001945884097572726,0.00548964975481906,-0.061429376968167984,0.6793214862681745
60v_strong,3m,1228,0.504885993485342,0.017130054221486807,0.0018307323275292557,0.015130054221486807,-0.10861473504057957,0.9055374592833876
60v_strong,6m,1213,0.5152514427040396,0.050512139265293465,0.0072992700729927005,0.048512139265293464,-0.14653190699297736,0.9826875515251443
