pattern,n_flag,n_nonflag,avg_ret3_flag,avg_ret3_nonflag,diff_ret3,win3_flag,win3_nonflag,diff_win3,avg_dd3_flag,avg_dd3_nonflag,diff_dd3,ma60_break3_flag,ma60_break3_nonflag,diff_ma60_break3,recommended_points
sakata_gap_up,22,759257,0.06530128413157647,0.025252896894670356,0.04004838723690612,0.5909090909090909,0.5263198100248005,0.06458928088429039,-0.0722442516997157,-0.10541118080492197,0.03316692910520627,0.8181818181818182,0.8934774391279896,-0.07529562094617137,0
three_gaps_up,22,759257,0.06530128413157647,0.025252896894670356,0.04004838723690612,0.5909090909090909,0.5263198100248005,0.06458928088429039,-0.0722442516997157,-0.10541118080492197,0.03316692910520627,0.8181818181818182,0.8934774391279896,-0.07529562094617137,0
three_gaps_down,28,759251,0.05795809334790756,0.02525285121678323,0.03270524213112433,0.7857142857142857,0.5263121154927686,0.2594021702215171,-0.03746846004708576,-0.1054127253846998,0.06794426533761404,0.9642857142857143,0.8934726460682962,0.07081306821741806,0
sakata_gap_down,28,759251,0.05795809334790756,0.02525285121678323,0.03270524213112433,0.7857142857142857,0.5263121154927686,0.2594021702215171,-0.03746846004708576,-0.1054127253846998,0.06794426533761404,0.9642857142857143,0.8934726460682962,0.07081306821741806,0
shooting_star_like,3259,756020,0.03255280975597792,0.02522259432133131,0.007330215434646611,0.53053083768027,0.5263035369434671,0.004227300736802886,-0.09456954995345954,-0.10545695102595395,0.010887401072494418,0.8876956121509666,0.8935001719531229,-0.005804559802156328,1
three_white_soldiers,644,758635,0.030140032054076966,0.025249909620785754,0.004890122433291212,0.562111801242236,0.5262912995050321,0.03582050173720397,-0.10022254878380192,-0.10541462357592683,0.005192074792124912,0.8633540372670807,0.893500827143488,-0.030146789876407287,1
bull_engulfing,4659,754620,0.030084278853422696,0.025224235655865908,0.004860043197556788,0.5372397510195321,0.5262542736741671,0.010985477345365036,-0.10076555232518006,-0.10543889582790943,0.0046733435027293685,0.8761536810474351,0.8935822003127402,-0.017428519265305087,1
three_black_crows,872,758407,0.02828881510889045,0.025250567991899696,0.0030382471169907548,0.5435779816513762,0.5263018405684546,0.017276141082921526,-0.0991593382547329,-0.10541740692659998,0.006258068671867081,0.9002293577981652,0.8934674917293749,0.0067618660687902565,0
sakata_bullish,6695,752584,0.0272166557596117,0.02523659798174958,0.001980057777862119,0.5453323375653473,0.5261525623717751,0.01917977519357217,-0.10069943678942089,-0.10545212700327786,0.004752690213856964,0.8696041822255415,0.893687614937336,-0.024083432711794472,0
morning_star,6050,753229,0.026903268481851067,0.02524081068505385,0.0016624577967972176,0.5434710743801653,0.5261839360938041,0.017287138286361192,-0.1007643078710516,-0.10544753616140663,0.004683228290355029,0.8702479338842976,0.8936618213053401,-0.023413887421042556,0
bear_marubozu,8976,750303,0.026818142175986562,0.02523534588244479,0.0015827962935417716,0.5362076648841355,0.5262034138208164,0.010004251063319147,-0.09489567189253577,-0.10553600708917947,0.010640335196643702,0.8989527629233511,0.8934097291360957,0.0055430337872554025,0
bull_marubozu,10829,748450,0.026200334416376054,0.02524036601564926,0.000959968400726794,0.53412134084403,0.5262088315852762,0.007912509258753753,-0.10047669965195281,-0.10548160077147309,0.005004901119520275,0.8747806815033706,0.8937457411984768,-0.0189650596951062,0
bull_harami,4870,754409,0.026206804231540926,0.025247906943315922,0.0009588972882250031,0.5229979466119097,0.5263431374758254,-0.0033451908639157146,-0.09917168005830336,-0.10545049196928469,0.006278811910981327,0.8829568788501027,0.8935431576240475,-0.010586278773944802,0
bear_harami,3487,755792,0.02612569045465945,0.02525003583418749,0.0008756546204719586,0.5451677659879552,0.5262347312488092,0.018933034739146093,-0.09732631665012526,-0.1054475165280673,0.008121199877942048,0.8958990536277602,0.8934640747718949,0.0024349788558652996,0
sakata_bearish,5857,753422,0.025003860936026374,0.02525600228332239,-0.00025214134729601573,0.5332081270274884,0.5262681472003737,0.006939979827114695,-0.100047188005141,-0.10545191127654081,0.0054047232713998195,0.9004609868533379,0.8934209513393556,0.007040035513982246,0
doji,11259,748020,0.024759252618807362,0.025261504960525753,-0.0005022523417183913,0.5290878408384404,0.5262800459880752,0.0028077948503651973,-0.09845239522384201,-0.10551494714060425,0.007062551916762236,0.8892441602273736,0.8935389428090158,-0.004294782581642176,0
evening_star,4983,754296,0.024457787965690113,0.0252593175734388,-0.0008015296077486869,0.5314067830624122,0.5262880884957629,0.005118694566649262,-0.10015353369733238,-0.10544494630692226,0.005291412609589888,0.9004615693357415,0.8934291047546321,0.007032464581109399,0
hammer_like,5526,753753,0.023166127483221527,0.025269364560187944,-0.0021032370769664167,0.5298588490770901,0.5262957494033191,0.0035630996737709975,-0.09610294819863846,-0.10547845432946118,0.00937550613082272,0.8879840752804922,0.8935155150294593,-0.005531439748967082,0
bear_engulfing,4242,755037,0.02158424767012678,0.02527467526384925,-0.00369042759372247,0.5287600188590288,0.5263079822578232,0.0024520366012056316,-0.09965253784011606,-0.10544256799656475,0.005790030156448689,0.8976897689768977,0.8934515791941322,0.004238189782765467,0
falling_three_methods,2,759277,-0.04669535283993115,0.025254246811787142,-0.0719495996517183,0.5,0.5263217508234808,-0.02632175082348076,-0.2221893870883048,-0.10540991219168477,-0.11677947489662002,1.0,0.8934749768529798,0.10652502314702017,0
rising_three_methods,2,759277,-0.12594873880643315,0.025254455571925974,-0.1512031943783591,0.5,0.5263217508234808,-0.02632175082348076,-0.18691791728996762,-0.10541000509972703,-0.08150791219024059,1.0,0.8934749768529798,0.10652502314702017,0
