code,dt,o,h,l,c,body_ratio,upper_ratio,lower_ratio,pre_bull_streak,short_ret_1m,short_ret_3m,drop10_intram_1m,stop10_hit_1m
4523,1994-09-01,1676.1904296875,1676.1904296875,1600.0,1676.1904296875,0.0,0.0,1.0,1,0.0514285412946377,0.06857138839285626,0.0,0.0
6345,1994-09-01,1210.0,1220.0,1110.0,1220.0,0.09090909090909091,0.0,0.9090909090909091,2,0.02459016393442623,0.08196721311475409,0.0,0.0
8153,1994-09-01,3305.78540039063,3330.57885742188,3000.00024414063,3206.61181640625,0.30000000000001514,0.07500018463129131,0.6249998153686935,0,0.06005225134141493,0.013054813773609092,0.0,0.0
5401,1994-10-01,784.0,802.0,754.0,800.0,0.3333333333333333,0.041666666666666664,0.625,2,0.03759398496240601,0.07518796992481203,0.0,0.0
5406,1994-10-01,3290.0,3350.0,3100.0,3350.0,0.24,0.0,0.76,2,0.057057057057057055,0.1021021021021021,0.0,0.0
8368,1994-10-01,625.0,627.0,585.0,624.0,0.023809523809523808,0.047619047619047616,0.9285714285714286,2,0.072,0.032,0.0,0.0
6383,1994-11-01,493.333343505859,500.0,456.666687011719,500.0,0.15384599132644072,0.0,0.8461540086735593,3,-0.14285714285714285,0.13605440100845106,0.0,1.0
7240,1994-11-01,932.0,947.0,881.0,942.0,0.15151515151515152,0.07575757575757576,0.7727272727272727,3,-0.002109704641350211,0.19936708860759494,0.0,0.0
7240,1994-12-01,948.0,950.0,886.0,950.0,0.03125,0.0,0.96875,4,0.051633298208640675,0.23709167544783982,1.0,0.0
7250,1994-12-01,600.0,600.0,548.0,590.0,0.19230769230769232,0.0,0.8076923076923077,0,0.155,0.275,1.0,0.0
7741,1994-12-01,642.5,670.0,600.0,665.0,0.32142857142857145,0.07142857142857142,0.6071428571428571,4,0.12167300380228137,0.08745247148288973,1.0,0.0
7974,1995-04-01,510.0,546.0,450.0,539.0,0.3020833333333333,0.07291666666666667,0.625,1,0.05380333951762523,-0.07421150278293136,0.0,0.0
6963,1995-05-01,972.5,972.5,872.5,965.0,0.075,0.0,0.925,3,-0.12886597938144329,-0.5541237113402062,0.0,1.0
9735,1995-05-01,1365.0,1370.0,1270.0,1335.0,0.3,0.05,0.65,2,0.016605166051660517,-0.1863468634686347,0.0,0.0
8267,1995-06-01,305.0,308.333343505859,270.0,293.333343505859,0.3043474799519603,0.08695676403362779,0.608695756014412,3,-0.11363639437462794,-0.34659086239239745,0.0,1.0
8358,1995-08-01,639.0,655.0,595.0,650.0,0.18333333333333332,0.08333333333333333,0.7333333333333333,2,0.04468412942989214,0.0061633281972265025,0.0,0.0
1963,1995-09-01,1130.0,1140.0,1030.0,1140.0,0.09090909090909091,0.0,0.9090909090909091,2,0.008928571428571428,0.026785714285714284,0.0,0.0
5727,1995-09-01,435.0,435.0,400.0,425.0,0.2857142857142857,0.0,0.7142857142857143,2,0.07755581668625147,-0.32784958871915393,0.0,0.0
6986,1995-09-01,4640.0,4660.0,4100.0,4460.0,0.32142857142857145,0.03571428571428571,0.6428571428571429,3,0.029082774049217,-0.058165548098434,0.0,0.0
7267,1995-09-01,286.666687011719,296.666687011719,265.0,296.666687011719,0.3157892707973926,0.0,0.6842107292026074,3,-0.005649786480403313,-0.2033898305084746,0.0,0.0
8214,1995-09-01,1025.0,1045.0,910.0,1040.0,0.1111111111111111,0.037037037037037035,0.8518518518518519,3,-0.09223300970873786,-0.22330097087378642,0.0,1.0
9041,1995-09-01,7578.470703125,7635.0263671875,7352.24755859375,7635.0263671875,0.1999996546549917,0.0,0.8000003453450083,3,0.0198511284267812,0.032258099761062774,0.0,0.0
2212,1995-10-01,1810.0,1820.0,1720.0,1810.0,0.0,0.1,0.9,2,-0.005555555555555556,-0.07222222222222222,0.0,0.0
8267,1995-10-01,395.0,400.0,385.0,400.0,0.3333333333333333,0.0,0.6666666666666666,3,-0.025210082740587097,-0.1554621512552632,0.0,0.0
6005,1995-11-01,533.333374023438,533.333374023438,496.666687011719,530.0,0.09091015019635074,0.0,0.9090898498036493,0,0.0062892697892094765,-0.10062900759139237,0.0,0.0
4063,1996-01-01,420.952392578125,420.952392578125,390.476196289063,411.428588867188,0.3124997496605281,0.0,0.6875002503394718,3,0.0,-0.11319439726111391,0.0,0.0
4519,1996-01-01,333.333343505859,340.0,320.666687011719,340.0,0.34482742291411966,0.0,0.6551725770858803,2,0.01960781321806183,0.0,0.0,0.0
5262,1996-01-01,299.5,305.5,282.5,305.5,0.2608695652173913,0.0,0.7391304347826086,2,-0.1444805194805195,-0.2857142857142857,0.0,1.0
6201,1996-01-01,2030.0,2050.0,1850.0,2000.0,0.15,0.1,0.75,2,-0.014925373134328358,-0.07960199004975124,0.0,0.0
8088,1996-01-01,703.75,716.25,676.25,715.0,0.28125,0.03125,0.6875,2,0.03684210526315789,-0.01929824561403509,0.0,0.0
5471,1996-02-01,1084.0,1084.0,1006.0,1074.0,0.1282051282051282,0.0,0.8717948717948718,0,0.013059701492537313,-0.055970149253731345,1.0,0.0
6471,1996-02-01,780.0,780.0,734.0,770.0,0.21739130434782608,0.0,0.782608695652174,0,-0.06266318537859007,-0.06788511749347259,0.0,0.0
6479,1996-02-01,924.0,928.0,868.0,910.0,0.23333333333333334,0.06666666666666667,0.7,4,-0.028089887640449437,-0.010112359550561797,0.0,0.0
8002,1996-02-01,563.0,572.0,540.0,569.0,0.1875,0.09375,0.71875,0,-0.06017699115044248,-0.04247787610619469,0.0,0.0
8056,1996-02-01,1190.0,1200.0,1100.0,1170.0,0.2,0.1,0.7,3,-0.017699115044247787,-0.1504424778761062,0.0,0.0
4061,1996-03-01,2060.0,2105.0,1900.0,2085.0,0.12195121951219512,0.0975609756097561,0.7804878048780488,8,0.03110047846889952,0.05263157894736842,0.0,0.0
4186,1996-03-01,1013.33337402344,1013.33337402344,903.333374023438,990.0,0.2121215820312688,0.0,0.7878784179687313,0,-0.05298011116926836,0.03642386053378273,0.0,0.0
5471,1996-03-01,1072.0,1072.0,938.0,1058.0,0.1044776119402985,0.0,0.8955223880597015,0,-0.08037383177570094,-0.013084112149532711,0.0,0.0
6506,1996-03-01,534.0,559.0,484.0,552.0,0.24,0.09333333333333334,0.6666666666666666,4,0.005385996409335727,0.03770197486535009,0.0,0.0
8040,1996-03-01,3175.0,3180.0,2675.0,3145.0,0.0594059405940594,0.009900990099009901,0.9306930693069307,1,-0.034976152623211444,-0.001589825119236884,0.0,0.0
9007,1996-03-01,1450.48547363281,1496.0,1355.33984375,1484.0,0.23826595434476494,0.08531200533200033,0.6764220403232347,1,-0.006711409395973154,0.009395973154362415,0.0,0.0
8804,1996-04-01,1280.0,1310.0,1214.0,1306.0,0.2708333333333333,0.041666666666666664,0.6875,5,-0.039816232771822356,0.07503828483920368,0.0,0.0
1802,1996-05-01,977.0,1000.0,936.0,994.0,0.265625,0.09375,0.640625,2,-0.005070993914807302,0.08519269776876268,0.0,0.0
2267,1996-05-01,770.0,770.0,725.0,755.0,0.3333333333333333,0.0,0.6666666666666666,3,-0.026490066225165563,0.059602649006622516,0.0,0.0
2802,1996-05-01,645.0,655.0,600.0,650.0,0.09090909090909091,0.09090909090909091,0.8181818181818182,2,-0.015503875968992248,0.10852713178294573,0.0,0.0
4613,1996-05-01,566.0,568.0,530.0,555.0,0.2894736842105263,0.05263157894736842,0.6578947368421053,2,-0.058823529411764705,0.05698529411764706,0.0,0.0
5101,1996-05-01,1384.0,1390.0,1290.0,1358.0,0.26,0.06,0.68,2,-0.011782032400589101,0.12076583210603829,0.0,0.0
5333,1996-05-01,1190.0,1200.0,1140.0,1200.0,0.16666666666666666,0.0,0.8333333333333334,6,-0.03361344537815126,0.04201680672268908,0.0,0.0
5801,1996-05-01,6240.0,6410.0,5820.0,6360.0,0.2033898305084746,0.0847457627118644,0.711864406779661,6,-0.029874213836477988,0.06761006289308176,0.0,0.0
6752,1996-05-01,1850.0,1870.0,1770.0,1860.0,0.1,0.1,0.8,2,-0.0967741935483871,0.016129032258064516,0.0,1.0
6770,1996-05-01,1260.0,1260.0,1170.0,1230.0,0.3333333333333333,0.0,0.6666666666666666,2,-0.09016393442622951,-0.04918032786885246,0.0,1.0
6981,1996-05-01,453.333374023438,454.444488525391,414.444488525391,440.000030517578,0.3333335876465,0.027777862548825284,0.6388885498046747,2,-0.045340046892522884,0.02770782180841262,0.0,1.0
7751,1996-05-01,1393.33337402344,1420.0,1326.66674804688,1413.33337402344,0.21428590112820373,0.07142819774359253,0.7142859011282038,2,-0.08056865786475742,0.04265402596834569,0.0,1.0
8016,1996-05-01,1780.0,1790.0,1650.0,1760.0,0.14285714285714285,0.07142857142857142,0.7857142857142857,2,-0.017045454545454544,0.14772727272727273,0.0,0.0
8058,1996-05-01,496.666687011719,500.0,466.666687011719,493.333343505859,0.10000036621118046,0.09999945068325233,0.8000001831055672,2,0.033557086568452944,0.18791947587106397,0.0,0.0
8267,1996-05-01,541.666687011719,543.333374023438,511.666687011719,533.333374023438,0.2631570831895705,0.05263218760782212,0.6842107292026074,2,-0.12187499070167603,-0.0062499613761927,0.0,1.0
8331,1996-05-01,950.0,950.0,905.0,939.0,0.24444444444444444,0.0,0.7555555555555555,2,-0.027659574468085105,0.0851063829787234,0.0,0.0
8550,1996-05-01,1130.0,1130.0,1030.0,1110.0,0.2,0.0,0.8,2,-0.017857142857142856,0.07142857142857142,0.0,0.0
9048,1996-05-01,2830.0,2830.0,2725.0,2795.0,0.3333333333333333,0.0,0.6666666666666666,2,0.0,0.09123434704830054,0.0,0.0
9104,1996-05-01,1266.66674804688,1266.66674804688,1160.0,1236.66674804688,0.2812497854234293,0.0,0.7187502145765706,2,-0.018867857480579297,0.12129379255721182,0.0,0.0
9602,1996-05-01,1850.0,1890.0,1730.0,1890.0,0.25,0.0,0.75,2,-0.021052631578947368,0.05789473684210526,0.0,0.0
1929,1996-06-01,3888.0,4000.0,3680.0,4000.0,0.35,0.0,0.65,2,0.0898989898989899,0.09797979797979799,0.0,0.0
