progress_bin,n,avg_short_ret,med_short_ret,win_rate_short,gain_ge_10pct_rate,avg_hold_months
neg,12296,-0.08491436121791304,-0.0695063444893469,0.0,0.0,2.219502277163305
0-25%,733,0.013190137219131075,0.0117336462305661,0.9440654843110505,0.0,4.814461118690314
25-50%,529,0.04597567788699197,0.043842927945101,1.0,0.001890359168241966,5.5633270321361055
50-75%,294,0.08105958570241423,0.0810505319148936,1.0,0.2108843537414966,5.792517006802721
75-100%,104,0.10539015922263177,0.10767827063447499,1.0,0.6538461538461539,5.644230769230769
100%+,7575,0.09818264696041573,0.1017699115044247,0.9857425742574257,0.5166996699669967,2.284092409240924
,23,0.0,0.0,0.0,0.0,1.0
