pattern,n_flag_in_strong,n_nonflag_in_strong,avg_ret3_flag_in_strong,avg_ret3_nonflag_in_strong,diff_ret3_in_strong,win3_flag_in_strong,win3_nonflag_in_strong,diff_win3_in_strong
three_white_soldiers,148,324954,0.039778229451697227,0.026851059540412545,0.012927169911284682,0.5675675675675675,0.5280470466589118,0.039520520908655765
bull_engulfing,2094,323008,0.03324429128382899,0.02681553656227007,0.006428754721558919,0.5515759312320917,0.5279126213592233,0.023663309872868354
sakata_bullish,2189,322913,0.027584397706196955,0.02685201318396969,0.000732384522227264,0.5500228414801279,0.5279161879515535,0.022106653528574438
morning_star,2040,323062,0.02669338885658732,0.026857977312672587,-0.000164588456085267,0.5485294117647059,0.5279358141780834,0.020593597586622492
hammer_like,2499,322603,0.02265786252996851,0.026889472141894764,-0.0042316096119262535,0.531812725090036,0.5280360071047077,0.003776717985328304
