months_to_breakout,count,survivors_before,hazard
1,8027,24243,0.3311058862352019
2,4948,16216,0.3051307350764677
3,3276,11268,0.2907348242811501
4,2102,7992,0.263013013013013
5,1583,5890,0.2687606112054329
6,1135,4307,0.2635244950081263
7,772,3172,0.2433795712484237
8,595,2400,0.2479166666666666
9,423,1805,0.2343490304709141
10,300,1382,0.2170767004341534
11,240,1082,0.22181146025878
12,197,842,0.2339667458432304
