timeframe,ma_order_class,n,win_rate_3m,avg_ret_3m,med_ret_3m,avg_dd_3m,ma60_break_rate_3m
daily,loose_only,320343,0.5248249532532316,0.02372476332361446,0.00847457627118644,-0.10459936812337109,0.9161554958279094
daily,stack,113834,0.5255547551698087,0.024979945610071934,0.009075782993923852,-0.10597947933823754,0.9047648330024421
daily,strong,325102,0.5280650380495967,0.026856944527729975,0.00966183574879227,-0.1060098764209573,0.867173994623226
weekly,loose_only,37790,0.5257210902355121,0.020324683700277006,0.007889948291844171,-0.09583188590027258,0.480418100026462
weekly,stack,16352,0.5207314090019569,0.017861197246352736,0.006607929515418502,-0.10056720458095161,0.5245841487279843
weekly,strong,48641,0.5350424538969183,0.024703466747341207,0.011375387797311272,-0.09963837272847735,0.3497872165457125
monthly,loose_only,4633,0.5387437945175912,0.018147229043255615,0.011333333333333334,-0.10522304336090357,0.14569393481545434
monthly,stack,2236,0.5728980322003577,0.026373030527407627,0.0200502465747274,-0.09760197603571358,0.17844364937388194
monthly,strong,8027,0.5254765167559486,0.01900439959326025,0.008948579844556477,-0.11002648132626076,0.08010464681699266
