timeframe,depth_bin,n,win_rate_3m,avg_ret_3m,med_ret_3m,avg_dd_3m,ma60_break_rate_3m
daily,above_ma20,13,0.6153846153846154,0.017729230153429115,0.027131782945736434,-0.1122516577112676,0.8461538461538461
daily,touch_0to2,611011,0.5282228961508058,0.024981921618078808,0.009405940594059406,-0.102418445790872,0.8856027141900882
daily,pull_2to5,143185,0.5192163983657506,0.025743681328462352,0.007629477685414138,-0.1161558203564869,0.9266054405140203
daily,deep_5plus,5070,0.4976331360946746,0.04424200493408262,0.0,-0.16247315335695264,0.9067061143984221
weekly,above_ma20,1,0.0,-0.33653846153846156,-0.33653846153846156,-0.391025641025641,1.0
weekly,touch_0to2,60713,0.5384019896891934,0.023713466421788915,0.011488250652741514,-0.09277385805829391,0.4005237757976051
weekly,pull_2to5,33053,0.5214050161861253,0.020230240558014066,0.007189934092270821,-0.10080691772142583,0.47517623211206245
weekly,deep_5plus,9016,0.49744897959183676,0.01704615471325209,0.0,-0.12727713664422982,0.41293256433007985
monthly,above_ma20,1,1.0,0.13457943925233645,0.13457943925233645,-0.03551401869158879,0.0
monthly,touch_0to2,5512,0.556966618287373,0.02550915726547034,0.01714809754358868,-0.0969889088384735,0.10014513788098693
monthly,pull_2to5,4472,0.5447227191413238,0.01969975129021232,0.013481360772605748,-0.1022727290348495,0.13707513416815742
monthly,deep_5plus,4911,0.5066177967827327,0.013593195254618693,0.0025974025974025974,-0.12154691918807013,0.11240073304825901
