pair,n_signal,coverage,precision_signal,precision_baseline,precision_lift,practical_score,n_both_all,diff_ret3_all,diff_win_all,quarters_eval,ret_positive_ratio,win_positive_ratio,mean_diff_ret3_q,mean_diff_win_q
morning_star+sakata_bullish,2256,0.0112392576908705,0.5784574468085106,0.5696799103250716,0.008777536483439,0.416909883543244,2256,-0.0051865010981519,0.0088773108678851,24,0.5,0.625,-0.0028150963438067,0.0097233736022717
bull_marubozu+sakata_bullish,717,0.0035720513139867,0.5704323570432357,0.5696799103250716,0.0007524467181641,0.0201481571776586,717,-0.0106757033626647,0.0007551441317521,13,0.2307692307692307,0.4615384615384615,-0.0163900602238865,0.0037377630090687
