timeframe,rule,horizon,n,win_rate,avg_ret,med_ret,avg_ret_net_20bps,avg_dd,ma60_break_rate
daily,pullback_base,1m,759279,0.5118342532850243,0.00778784394921564,0.0027247956403269754,0.00578784394921564,-0.06121591935744511,0.6253155954530548
daily,pullback_base,3m,759279,0.5263216814899399,0.025254057290939994,0.00906344410876133,0.023254057290939996,-0.10541021979791364,0.8934752574481843
daily,pullback_base,6m,747193,0.5422735491365684,0.05203419452791768,0.019916142557651992,0.05003419452791768,-0.14416412524566935,0.9843976054379524
daily,pullback_stack,1m,438936,0.5137354876337324,0.008526685308463974,0.0031132173408865834,0.006526685308463974,-0.061729267188716415,0.5683129203346273
daily,pullback_stack,3m,438936,0.5274140193558969,0.026370162184079227,0.009523809523809525,0.024370162184079225,-0.1060019932181343,0.8769228315745348
daily,pullback_stack,6m,431840,0.5443636532048907,0.05317881389319722,0.02124038405922841,0.05117881389319722,-0.1450475020759291,0.9821646906261579
daily,pullback_strong,1m,325102,0.5136172647353754,0.008557164260521248,0.0030747832209735808,0.006557164260521248,-0.0618738473839621,0.5291662309059926
daily,pullback_strong,3m,325102,0.5280650380495967,0.026856944527729975,0.00966183574879227,0.024856944527729977,-0.1060098764209573,0.867173994623226
daily,pullback_strong,6m,319149,0.5458422241648885,0.05335553322059946,0.021806853582554516,0.05135553322059946,-0.14487250373588356,0.9809462038107593
weekly,pullback_base,1m,102783,0.5106389188873647,0.005820379929956067,0.0024154589371980675,0.0038203799299560666,-0.05805044494749132,0.20427502602570463
weekly,pullback_base,3m,102783,0.5293385092865551,0.02200497573006481,0.009325071633987056,0.02000497573006481,-0.09838662021311782,0.42562486014224143
weekly,pullback_base,6m,101617,0.5425568556442327,0.04948351883165538,0.018573996405032954,0.04748351883165538,-0.13209075497908362,0.614139366444591
weekly,pullback_stack,1m,64993,0.5147169695197944,0.006546622650566648,0.0030917635419243136,0.004546622650566648,-0.05934189527155653,0.1784192143769329
weekly,pullback_stack,3m,64993,0.5314418475835859,0.0229819768810454,0.010099120771871535,0.020981976881045403,-0.099872063409807,0.3937654824365701
weekly,pullback_stack,6m,64145,0.54103983163146,0.05019891924007267,0.017860572306510468,0.04819891924007267,-0.13352855733340432,0.5892898900927586
weekly,pullback_strong,1m,48641,0.5206718611870644,0.007871874861283865,0.004100385524380358,0.0058718748612838646,-0.05980654904955413,0.13953249316420305
weekly,pullback_strong,3m,48641,0.5350424538969183,0.024703466747341207,0.011375387797311272,0.02270346674734121,-0.09963837272847735,0.3497872165457125
weekly,pullback_strong,6m,47927,0.5398627078682162,0.04896117970096691,0.017988552739165987,0.04696117970096691,-0.13408752718857922,0.5579944498925449
monthly,pullback_base,1m,14896,0.506780343716434,0.0038042480578934857,0.0015678257734661773,0.0018042480578934856,-0.06396298866121904,0.03638560687432868
monthly,pullback_base,3m,14896,0.5367212674543501,0.019843885872166137,0.011724477639296188,0.017843885872166135,-0.10666749086417944,0.11526584317937702
monthly,pullback_base,6m,14633,0.5450010250802979,0.04218790128195692,0.02055888223552894,0.04018790128195692,-0.14713306053975994,0.2171120071072234
monthly,pullback_stack,1m,10263,0.50686933645133,0.00415919744751332,0.0015504632994194508,0.0021591974475133197,-0.06578503571779759,0.03156971645717627
monthly,pullback_stack,3m,10263,0.5358082432037415,0.02060980335129918,0.012172284644194757,0.01860980335129918,-0.10731955412859305,0.10152976712462243
monthly,pullback_stack,6m,10113,0.5379214871946999,0.040282878565607146,0.016974726518294982,0.038282878565607144,-0.1466153448273619,0.19776525264511025
monthly,pullback_strong,1m,8027,0.5010589261243303,0.003292608330962493,0.0005610098176718093,0.0012926083309624929,-0.06790286601047674,0.021676840662763174
monthly,pullback_strong,3m,8027,0.5254765167559486,0.01900439959326025,0.008948579844556477,0.01700439959326025,-0.11002648132626076,0.08010464681699266
monthly,pullback_strong,6m,7925,0.5232807570977918,0.03462559415322117,0.010980392156862745,0.032625594153221166,-0.15015463865131057,0.17198738170347003
