signal,n,corr_ret6_slope20,corr_ret6_slope60,slope20_q25,slope20_q50,slope20_q75,slope60_q25,slope60_q50,slope60_q75
between_ma20_ma60,16717,0.06021352833008226,-0.10365390306974816,-0.02404126112636209,0.00011750190940602784,0.0235474432214017,-0.033753880705462654,-0.017238026339330886,-0.00361456022909653
box_bottom,363,0.06735258696117676,-0.05521115662818482,-0.004074373637826796,0.005725738675891953,0.016470767073880573,-0.016773457018743082,-0.006588385314276594,0.00093194469634101
between_and_box_bottom,160,0.13841348055673508,-0.008037935867222762,-0.0003595618485964885,0.008084357325907903,0.021422353084652655,-0.017502187764274917,-0.00669266779433411,0.00229398702910881
between_not_box_bottom,16557,0.06013721919190444,-0.10388631569442892,-0.024269828159154544,-2.5401341190907283e-05,0.023582175925925857,-0.03396924337158181,-0.017419825072886166,-0.003693974716795272
