pattern,horizon_days,n,hit10_rate,hit5_rate,stop5_rate,avg_ret_close_based
R1_model_consensus,3,11896,0.15526227303295226,0.41139878950907866,0.16829186281102892,0.022766246820429045
R1_model_consensus,5,11896,0.3110289172831204,0.5864996637525218,0.21998991257565567,0.03584435838968862
R1_model_consensus,7,11896,0.4285474108944183,0.7055312710154674,0.25756556825823806,0.04561103258050399
R1_model_consensus,10,11896,0.5828850033624747,0.8111129791526563,0.3012777404169469,0.05274588549631891
R1_model_consensus,15,11896,0.6824983187626092,0.8628110289172831,0.3727303295225286,0.039568706976471704
R1_model_consensus,20,11896,0.7150302622730329,0.8813046402151984,0.4390551445864156,0.022868134672434655
R2_consensus_plus_extension,3,336,0.11607142857142858,0.3630952380952381,0.30952380952380953,0.0031618636964807754
R2_consensus_plus_extension,5,336,0.25595238095238093,0.5535714285714286,0.3869047619047619,0.017120142134892397
R2_consensus_plus_extension,7,336,0.4166666666666667,0.6875,0.40773809523809523,0.03401168407671947
R2_consensus_plus_extension,10,336,0.6160714285714286,0.7946428571428571,0.43452380952380953,0.047236761403224185
R2_consensus_plus_extension,15,336,0.7291666666666666,0.8571428571428571,0.4851190476190476,0.03187568311067943
R2_consensus_plus_extension,20,336,0.7559523809523809,0.8839285714285714,0.5178571428571429,0.02862425168076271
R3_countertrend_upper_band,3,374,0.12299465240641712,0.41711229946524064,0.22192513368983957,0.014301796764260638
R3_countertrend_upper_band,5,374,0.2914438502673797,0.5909090909090909,0.28342245989304815,0.02706792120025534
R3_countertrend_upper_band,7,374,0.4304812834224599,0.7085561497326203,0.30213903743315507,0.04511385319683934
R3_countertrend_upper_band,10,374,0.6256684491978609,0.8155080213903744,0.3181818181818182,0.053663442745022286
R3_countertrend_upper_band,15,374,0.6898395721925134,0.8556149732620321,0.3716577540106952,0.01482807580157168
R3_countertrend_upper_band,20,374,0.6978609625668449,0.8716577540106952,0.4090909090909091,0.009300759012676473
R6_overheat_then_turn,3,2695,0.10018552875695733,0.35918367346938773,0.39628942486085345,-0.0073858609288367265
R6_overheat_then_turn,5,2695,0.17142857142857143,0.46122448979591835,0.4920222634508349,-0.011777557617557832
R6_overheat_then_turn,7,2695,0.23191094619666047,0.5161410018552876,0.5528756957328386,-0.01494386931134887
R6_overheat_then_turn,10,2695,0.31020408163265306,0.5729128014842301,0.6170686456400742,-0.019200017802342075
R6_overheat_then_turn,15,2695,0.3907235621521336,0.6356215213358071,0.684230055658627,-0.028397181720234407
R6_overheat_then_turn,20,2695,0.4352504638218924,0.662708719851577,0.726530612244898,-0.03714861123100687
baseline,3,155479,0.025321747631512938,0.10964181657973103,0.15180185105384006,-0.004501489198824336
baseline,5,155479,0.04660436457656661,0.16901961036538696,0.2429781513902199,-0.007114688179440569
baseline,7,155479,0.06631120601496023,0.21459489706005314,0.3179078846660964,-0.009654638542638736
baseline,10,155479,0.09501604718322089,0.27066677815010387,0.4063957190360113,-0.013507769911541992
baseline,15,155479,0.13976807157236668,0.3440528946031297,0.5085831527087259,-0.019380581134666577
baseline,20,155479,0.18062246348381453,0.3959827372185311,0.5795573678760476,-0.025381143586113163
