asof_date,phase,phase_date,slot,action,selected_code,selected_tier,selected_bucket,selected_name,selected_sector,selected_live_score,selected_p_up,selected_ev20_net,selected_turnover20,replaced_primary_code,replaced_primary_reasons
2026-02-26,1,2026-03-02,1,keep_primary,7003,primary,primary,三井E&S(三井造船),機械,0.7687154891863143,0.4827162982794297,0.02994050147133226,56396002.85,,
2026-02-26,1,2026-03-02,2,keep_primary,5711,primary,primary,三菱マテリアル,非鉄金属,0.6786621191911228,0.4682867817946829,0.029561681709643226,11079192.0,,
2026-02-26,1,2026-03-02,3,keep_primary,1942,primary,primary,関電工,建設業,0.6495741358943454,0.46390034619038445,0.007579405462095241,15420084.8,,
2026-02-26,1,2026-03-02,4,keep_primary,3436,primary,primary,SUMCO,金属製品,0.6289409878122741,0.4967872461389098,0.0175736296799189,13479426.725,,
