side,best_pattern,best_n,best_avg_ret,worst_pattern,worst_n,worst_avg_ret
buy,shooting_star_like,979,0.0138549610299208,bull_marubozu,2547,0.0004174293587027
sell,hammer_like,1211,-0.0037881025955717,bear_marubozu,2973,-0.0182059811610052
