horizon_months,n,win_rate_close,avg_ret_close,med_ret_close,box_break_rate,ma60_break_rate,avg_best_ret,avg_worst_ret
3,367,0.5667574931880109,0.015677124046103198,0.008516678495386799,0.2506811989100817,0.27520435967302453,0.07725761656717764,-0.060815222066967045
6,367,0.6212534059945504,0.03983599014573589,0.0258130649520082,0.4550408719346049,0.45231607629427795,0.1269657755527477,-0.07934793938231713
12,367,0.7002724795640327,0.12627134525719008,0.08620689655172414,0.6757493188010899,0.6839237057220708,0.2577162920588224,-0.10146452789749572
