ticker,side,units,open_reason,close_reason,open_asof,close_asof,entry_price,exit_price,pnl
9763,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-01,2026-01-06,4030.0,4030.0,0.0
9763,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-02,2026-01-06,4030.0,4030.0,0.0
9763,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-03,2026-01-06,4030.0,4030.0,0.0
4530,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-06,2026-01-09,5200.0,5200.0,0.0
8416,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-08,2026-01-09,1064.0,1064.0,0.0
6330,LONG,2,E_NEW_TOP1_GATE_OK,T_TP_PARTIAL_3_TO_2,2026-01-07,2026-01-13,4285.0,5370.0,506417.736289
9983,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-09,2026-01-13,62750.0,62750.0,0.0
9983,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-10,2026-01-13,62750.0,62750.0,0.0
6330,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-08,2026-01-16,4520.0,6700.0,1446902.654867
6323,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-16,2026-01-19,3178.0,3178.0,0.0
6323,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-17,2026-01-19,3178.0,3178.0,0.0
6323,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-18,2026-01-19,3178.0,3178.0,0.0
4366,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-19,2026-01-21,391.0,395.0,20460.358056
4366,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-20,2026-01-21,419.0,395.0,-171837.708831
6323,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-21,2026-01-22,3558.0,3558.0,0.0
6146,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-22,2026-01-23,68570.0,68570.0,0.0
3479,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-23,2026-01-27,2190.0,2190.0,0.0
3479,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2026-01-24,2026-01-27,2190.0,2190.0,0.0
3479,LONG,5,A_ADD_ADD_TO_MAIN_OK,X_EXIT_GATE_NG,2026-01-25,2026-01-27,2190.0,2190.0,0.0
1514,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-27,2026-01-29,709.0,711.0,5641.748942
5713,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2026-01-29,2026-01-30,9855.0,9360.0,-100456.621005
