cnt60_bin,n,hit10_20d,hit5_10d,avg_ret20,win20,lift_vs_baseline
0-9,86495,0.19587259379154864,0.2821434765015319,-0.022637830232203848,0.4167408520723741,1.0814240420042955
10-19,16339,0.18832241875267763,0.2951833037517596,-0.020473122278574615,0.40718526225595203,1.0397390841940921
20-29,12120,0.15800330033003301,0.24612211221122113,-0.0243926750201898,0.38613861386138615,0.8723454587769668
30-39,9952,0.1760450160771704,0.25602893890675243,-0.023452050520506758,0.3878617363344051,0.9719548262248986
40-49,7912,0.1550808897876643,0.2584681496461072,-0.03452550033207186,0.34643579373104144,0.8562106593139666
50-54,3294,0.14571948998178508,0.25591985428051,-0.04188141257315044,0.3312082574377656,0.8045258236719476
55-59,2887,0.14755801870453758,0.24315898856944926,-0.04366459931708834,0.3245583650848632,0.8146764482397517
60,20405,0.1496201911296251,0.27610879686351386,-0.033417331257229455,0.3639794168096055,0.826061822763465
