regime,pdown_bin,n,pred_mean,actual_hit10,avg_ret20,calibration_gap
below_ma20,0.00-0.40,13623,0.30573137406944795,0.063348748440138,-0.061091319842008544,-0.24238262562930996
below_ma20,0.40-0.50,25605,0.4521639512931289,0.12489748096074986,-0.02631570785729374,-0.32726647033237904
below_ma20,0.50-0.55,9345,0.5227063432395191,0.24044943820224718,-0.004797090580727902,-0.28225690503727197
below_ma20,0.55-0.60,4880,0.5704709343788346,0.3290983606557377,0.004740509792142939,-0.24137257372309684
below_ma20,0.60-0.65,1617,0.6221687368933096,0.5844155844155844,0.021883028361625027,-0.03775315247772526
below_ma20,0.65-0.70,1207,0.6740292936549623,0.8053024026512013,0.0025329585428854992,0.131273108996239
below_ma20,0.70-0.80,1499,0.7370319579153064,0.8785857238158773,0.038599198422462296,0.1415537659005709
countertrend_upper,0.00-0.40,1494,0.37223864349396474,0.06157965194109773,-0.058079991026305344,-0.310658991552867
countertrend_upper,0.40-0.50,5467,0.4496236925427821,0.11816352661423084,-0.05609489048665799,-0.33146016592855126
countertrend_upper,0.50-0.55,2302,0.5220213023029388,0.19244135534317985,-0.032676615064875784,-0.3295799469597589
countertrend_upper,0.55-0.60,857,0.568023706234145,0.28588098016336055,-0.015261825172141814,-0.28214272607078444
countertrend_upper,0.60-0.65,229,0.619687469822947,0.6200873362445415,0.024071828061450144,0.000399866421594508
countertrend_upper,0.65-0.70,77,0.6742035254099044,0.8441558441558441,0.047058016823224906,0.16995231874593975
countertrend_upper,0.70-0.80,165,0.7451560141300377,0.9696969696969697,0.09274020266948163,0.224540955566932
extended_uptrend,0.00-0.40,2602,0.367258836091346,0.06264411990776327,-0.04906382999145983,-0.30461471618358277
extended_uptrend,0.40-0.50,8104,0.4484336542601277,0.09674234945705824,-0.04206325639955226,-0.3516913048030695
extended_uptrend,0.50-0.55,3349,0.522140372064042,0.16213795162735145,-0.008906824379952516,-0.3600024204366905
extended_uptrend,0.55-0.60,1360,0.567993111057132,0.2139705882352941,0.012654920193416637,-0.3540225228218379
extended_uptrend,0.60-0.65,271,0.6200519827460843,0.5350553505535055,0.005523529801298023,-0.0849966321925788
extended_uptrend,0.65-0.70,149,0.674059137620646,0.7583892617449665,-0.030788033098469746,0.0843301241243205
extended_uptrend,0.70-0.80,146,0.7325538589150835,0.773972602739726,-0.031823672244500924,0.0414187438246425
other,0.00-0.40,13301,0.3519872433699066,0.07713705736410796,-0.029032179227208365,-0.27485018600579864
other,0.40-0.50,38543,0.4501685286898275,0.10601146771138728,-0.03553594642808917,-0.34415706097844023
other,0.50-0.55,12038,0.5231265322868826,0.220966938029573,-0.012866028420523541,-0.30215959425730954
other,0.55-0.60,5818,0.5707395530635002,0.32468202131316604,-0.002174137877223262,-0.24605753175033418
other,0.60-0.65,1693,0.6208314606451949,0.577082102776137,0.014036451267649248,-0.04374935786905787
other,0.65-0.70,775,0.6732317309774651,0.7587096774193548,0.0376319493859481,0.08547794644188966
other,0.70-0.80,2398,0.7532766625552996,0.8744787322768974,0.06946638649486149,0.12120206972159786
other,0.80+,450,0.8153324171436472,0.9311111111111111,0.08560972990016119,0.11577869396746387
