reason,n,share_in_failures,avg_ret20,avg_max_rise5,avg_min_ret10
trend_continued_up,1496,0.4309997118985883,-0.09211750338142241,0.020563264560332306,-0.0581211993185506
stop_hit_5pct,1404,0.4044943820224719,-0.14579320465952192,0.1429416925274445,-0.02550110979752706
weak_extension,335,0.0965139729184673,0.029905006224810342,0.016414481385190832,-0.06855217111463095
turn_prob_not_high_enough,94,0.027081532699510226,0.039091652022990024,0.0168546703801197,-0.06618427911882815
other,86,0.024776721405934888,0.029717222664187536,0.01376907992498313,-0.06718821158219045
no_follow_through,56,0.01613367905502737,0.03851343842354767,0.03175409198329919,-0.02032340830646854
