cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
0,1862469,0.42698106653050333,0.37647123254132014,0.2534571045209343,0.0024995838471041573,0.007927638588440266
1,135692,0.4279471155263391,0.3613698670518527,0.22467794711552633,-9.00942099834927e-05,0.005938879700720007
2,96851,0.4233513334916521,0.35772475245480173,0.21962602347936522,0.000267463922120511,0.006524361958863157
3,79608,0.4211008943824741,0.35951160687368106,0.21808109737714804,0.0003847661252797806,0.007180378239738371
4,68907,0.41759182666492517,0.35257666129711057,0.21428882406722105,0.0008211727142384784,0.008071152947374394
5,61795,0.41268711060765434,0.3497532162796343,0.21265474552957359,0.0013780602020236504,0.008853568087712621
6,56400,0.41143617021276596,0.34921985815602835,0.21187943262411346,0.0020090583248189567,0.00933854206217779
7,52247,0.4108178460007273,0.3498191283710069,0.21222271135184795,0.002060685455632743,0.009317504912715845
8,48775,0.4110302409021015,0.3476781137878011,0.21187083546899027,0.0022933550573844995,0.00986270775397038
9,45909,0.40525822823411534,0.3456402883966107,0.21041625825001634,0.0025244883480771397,0.010298856936603805
10,43405,0.4037553277272204,0.34698767423107935,0.2098836539569174,0.002514927705234591,0.010211247344271897
11,41321,0.40608891362745336,0.3500883328089833,0.21144212385953873,0.001909944611558777,0.00995493648670146
12,39442,0.40687591907104104,0.346889102986664,0.21015668576644186,0.0019176780085830702,0.010074648507631253
13,37776,0.4040396018636171,0.34715163066497245,0.21042460821685727,0.001779588232858863,0.010158118658647877
14,36256,0.40889783759929393,0.3470873786407767,0.2085447925860547,0.001794064706423291,0.01002089371789192
15,34932,0.407706401007672,0.3457002175655559,0.20886293369975953,0.002124738143993823,0.010115124049879416
16,33591,0.4045131136316275,0.3421749873478015,0.20588848203387813,0.00273190980069403,0.010162599785135387
17,32478,0.40162571586920376,0.3425703553174457,0.20580084980602253,0.002783613465239686,0.0102945787109126
18,31429,0.40118998377294857,0.3410862579146648,0.20455630150497947,0.003288540466149315,0.010407161749236948
19,30421,0.4047532954209263,0.34127740705433746,0.20738963216199335,0.0032605779439840157,0.010070842852340991
20,29465,0.40054301713897844,0.34522314610554894,0.2079416256575598,0.0034723846495864777,0.009959553649195686
21,28588,0.4037008535049671,0.34703372044214353,0.20746467049111517,0.0035285579645097233,0.009647250768318068
22,27767,0.4013397198112868,0.3439694601505384,0.20632405373284834,0.003689640311079524,0.009807965600166021
23,26971,0.40154239738978903,0.3420340365577843,0.20737087983389565,0.0036773527101142778,0.009360797960540974
24,26229,0.40241717183270426,0.3452285638034237,0.20667962941781998,0.0033716503411747776,0.008770031552992611
25,25562,0.40431108676942334,0.3503638212972381,0.2099209764494171,0.0025599901766166586,0.008306789163606446
26,24882,0.4088497709187364,0.3525440077164215,0.21183988425367736,0.0022837950828628363,0.007797534209355559
27,24229,0.40447397746502123,0.35482273308844775,0.21152338107226876,0.00225766506685439,0.007699575248797483
28,23621,0.4125989585538292,0.35650480504635707,0.21421616358325218,0.0018373473440460066,0.0071272675290953305
29,23018,0.4218003301763837,0.35467894691111307,0.21622208706229906,0.001698073862356921,0.006961877150634164
30,22425,0.417123745819398,0.35290969899665553,0.21560758082497214,0.0019947130324239996,0.007359332936395664
31,21830,0.41704076958314246,0.355611543747137,0.2168117269812185,0.0019642773474456833,0.007776109574094618
32,21292,0.4197820777756904,0.3523389066315987,0.21876761224873192,0.002037992635101769,0.007840809076948715
33,20774,0.4175892943101954,0.35424087802060267,0.21960142485799558,0.0019398438772378847,0.008439992534230376
34,20274,0.40973660846404264,0.35153398441353456,0.2195422708888231,0.002033107253309198,0.00842053249363674
35,19767,0.4080538270855466,0.35549147569180956,0.22021551069965092,0.002149696251447386,0.00843298227021073
36,19275,0.4134889753566796,0.3557976653696498,0.22023346303501945,0.002076683345098456,0.00896892579486056
