ticker,side,units,open_reason,close_reason,open_asof,close_asof,entry_price,exit_price,pnl
2806,LONG,2,E_NEW_TOP1_GATE_OK,T_TP_REV_RISK_RISING,2026-01-01,2026-01-03,2270.0,2270.0,0.0
2806,LONG,3,A_ADD_PROBE_TO_ADD_OK,T_TP_REV_RISK_RISING,2026-01-02,2026-01-04,2270.0,2270.0,0.0
9763,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2026-01-01,2026-01-05,4030.0,4195.0,81885.856079
9763,LONG,3,A_ADD_PROBE_TO_ADD_OK,S_SWITCH_EV_GAP,2026-01-02,2026-01-05,4030.0,4195.0,122828.784119
9763,LONG,5,A_ADD_ADD_TO_MAIN_OK,S_SWITCH_EV_GAP,2026-01-03,2026-01-05,4030.0,4195.0,204714.640199
6330,LONG,2,E_NEW_SWITCH_IN,S_SWITCH_EV_GAP,2026-01-05,2026-01-06,3310.0,3585.0,166163.141994
4530,LONG,2,E_NEW_SWITCH_IN,T_TP_PARTIAL_3_TO_2,2026-01-06,2026-01-08,5200.0,6440.0,476923.076923
6702,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2026-01-01,2026-01-13,4329.0,4547.0,100716.100716
6702,LONG,3,A_ADD_PROBE_TO_ADD_OK,S_SWITCH_EV_GAP,2026-01-02,2026-01-13,4329.0,4547.0,151074.151074
6702,LONG,5,A_ADD_ADD_TO_MAIN_OK,S_SWITCH_EV_GAP,2026-01-03,2026-01-13,4329.0,4547.0,251790.25179
6330,LONG,2,E_NEW_SWITCH_IN,T_TP_PARTIAL_3_TO_2,2026-01-13,2026-01-15,5370.0,7370.0,744878.957169
6330,LONG,3,A_ADD_PROBE_TO_ADD_OK,R_CUT_LOSS_HARD,2026-01-14,2026-01-20,6370.0,5630.0,-348508.634223
6330,LONG,2,A_ADD_ADD_TO_MAIN_OK,R_CUT_LOSS_HARD,2026-01-15,2026-01-20,7370.0,5630.0,-472184.531886
6330,LONG,3,A_ADD_ADD_TO_MAIN_OK,R_CUT_LOSS_HARD,2026-01-15,2026-01-20,7370.0,5630.0,-708276.797829
4366,LONG,2,E_NEW_TOP1_GATE_OK,S_SWITCH_EV_GAP,2026-01-20,2026-01-27,419.0,403.0,-76372.315036
1514,LONG,2,E_NEW_SWITCH_IN,R_CUT_LOSS_HARD,2026-01-27,2026-01-29,709.0,711.0,5641.748942
1514,LONG,3,A_ADD_PROBE_TO_ADD_OK,R_CUT_LOSS_HARD,2026-01-28,2026-01-29,859.0,711.0,-516880.093132
