ticker,side,units,open_reason,close_reason,open_asof,close_asof,entry_price,exit_price,pnl
7701,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-01,2025-10-02,3831.0,3831.0,0.0
9507,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-01,2025-10-02,1393.0,1393.0,0.0
5076,LONG,2,E_NEW_TOP1_GATE_OK,S_SWITCH_EV_GAP,2025-10-01,2025-10-02,1672.5,1709.0,43647.234679
5991,LONG,2,E_NEW_SWITCH_IN,X_EXIT_GATE_NG,2025-10-02,2025-10-03,2414.5,2330.0,-69993.787534
6407,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-02,2025-10-03,2995.0,2995.0,0.0
6525,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-02,2025-10-03,4719.0,4719.0,0.0
3436,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-03,2025-10-06,1694.0,1694.0,0.0
5706,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-03,2025-10-06,13180.0,13180.0,0.0
6752,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-03,2025-10-06,1697.0,1697.0,0.0
6752,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2025-10-04,2025-10-06,1697.0,1697.0,0.0
6857,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-06,2025-10-07,17890.0,17890.0,0.0
7013,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-06,2025-10-07,2835.0,2835.0,0.0
8035,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-06,2025-10-07,30570.0,30570.0,0.0
5602,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2025-10-07,2025-10-08,1840.0,1914.0,80434.782609
4259,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-07,2025-10-09,600.0,600.0,0.0
7013,LONG,2,E_NEW_SWITCH_IN,X_EXIT_GATE_NG,2025-10-08,2025-10-09,3094.0,2957.0,-88558.500323
5803,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-07,2025-10-10,15290.0,15695.0,52975.801177
5803,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2025-10-08,2025-10-10,15965.0,15695.0,-50735.984967
6871,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-09,2025-10-10,6950.0,6950.0,0.0
9984,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-09,2025-10-10,5741.25,5741.25,0.0
5202,LONG,2,E_NEW_TOPK_GATE_OK,R_CUT_LOSS_WARN,2025-10-10,2025-10-14,580.0,532.0,-165517.241379
4755,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-10,2025-10-14,999.0,999.0,0.0
9983,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-10,2025-10-14,51500.0,51500.0,0.0
9983,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2025-10-11,2025-10-14,51500.0,51500.0,0.0
8040,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-14,2025-10-15,1105.0,1105.0,0.0
1540,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2025-10-14,2025-10-15,20165.0,21050.0,87775.849244
4814,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-15,2025-10-16,208.0,208.0,0.0
6326,LONG,2,E_NEW_SWITCH_IN,X_EXIT_GATE_NG,2025-10-15,2025-10-16,2048.0,2048.0,0.0
3692,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-15,2025-10-17,10160.0,10760.0,118110.23622
6814,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-16,2025-10-17,8330.0,8330.0,0.0
9984,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-16,2025-10-17,5957.5,5957.5,0.0
1540,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-17,2025-10-20,23400.0,22525.0,-74786.324786
7003,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-17,2025-10-20,4900.0,4900.0,0.0
7003,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2025-10-18,2025-10-20,4900.0,4900.0,0.0
8267,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-17,2025-10-20,2180.0,2180.0,0.0
3692,LONG,2,E_NEW_TOP1_GATE_OK,R_CUT_LOSS_WARN,2025-10-20,2025-10-21,13070.0,11830.0,-189747.513389
6814,LONG,2,E_NEW_TOPK_GATE_OK,R_CUT_LOSS_WARN,2025-10-20,2025-10-21,9090.0,8540.0,-121012.10121
9984,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-20,2025-10-21,6246.25,6246.25,0.0
6723,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-21,2025-10-22,1995.5,1957.5,-38085.692809
6762,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-21,2025-10-22,2443.5,2443.5,0.0
8697,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-21,2025-10-22,1834.0,1813.0,-22900.763359
1963,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-22,2025-10-23,1619.0,1578.0,-50648.548487
6814,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-22,2025-10-23,9350.0,9350.0,0.0
6958,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-22,2025-10-23,396.0,396.0,0.0
7003,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2025-10-23,2025-10-24,5470.0,5620.0,54844.606947
6302,LONG,2,E_NEW_TOPK_GATE_OK,S_SWITCH_EV_GAP,2025-10-23,2025-10-25,4092.0,4435.0,167644.183773
6302,LONG,3,A_ADD_PROBE_TO_ADD_OK,S_SWITCH_EV_GAP,2025-10-24,2025-10-25,4435.0,4435.0,0.0
2127,LONG,2,E_NEW_SWITCH_IN,X_EXIT_GATE_NG,2025-10-25,2025-10-27,793.799988,793.799988,0.0
7245,LONG,2,E_NEW_SWITCH_IN,X_EXIT_GATE_NG,2025-10-24,2025-10-27,1235.0,1171.0,-103643.724696
7245,LONG,3,A_ADD_PROBE_TO_ADD_OK,X_EXIT_GATE_NG,2025-10-26,2025-10-27,1235.0,1171.0,-155465.587045
6330,LONG,2,E_NEW_TOP1_GATE_OK,X_EXIT_GATE_NG,2025-10-27,2025-10-28,2937.0,2766.0,-116445.3524
7012,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-27,2025-10-28,12630.0,11995.0,-100554.235946
5801,LONG,2,E_NEW_TOPK_GATE_OK,X_EXIT_GATE_NG,2025-10-28,2025-10-29,10460.0,10460.0,0.0
