約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
"2018/1/23","2018/1/26","2914","日本たばこ産業","東証","特定","現物","買付","-","-","100","3,644.0","250","20","0","-","364,670","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/1/25","2018/1/30","6503","三菱電機","東証","特定","現物","買付","-","-","100","2,050.0","250","20","0","-","205,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/2","2018/2/7","3401","帝人","東証","特定","現物","買付","-","-","100","2,443.0","250","20","0","-","244,570","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/7","2018/2/13","8411","みずほフィナンシャルＧ","東証","特定","現物","買付","-","-","100","204.3","50","4","0","-","20,484","-","0.0","0","0","0","0","0","0","0","0","0"
