regime,n,ece_abs_gap,brier_score,hit10_20d,avg_ret20
below_ma20,1750590,0.19617981368983203,0.21385587982595813,0.2509022672356177,-0.008908873352389855
countertrend_upper,153831,0.2165201617352835,0.23446852081334602,0.2847020431512504,-0.016861226666165494
extended_uptrend,251526,0.23025426288854747,0.21383704062782025,0.2286841121792578,-0.012386140632374787
other,1725311,0.25004221746785266,0.22084109488035755,0.21991687295797685,-0.007987582071683088
