cnt60_bin,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret5,avg_ret20
0-9,2508653,0.42470281860424697,0.37078623468451,0.2440010635189482,0.0021087728769318983,0.007910612002106179
10-19,361051,0.40503142215365695,0.34539441796311326,0.2085023999379589,0.002367893628503244,0.010141211485806158
20-29,260332,0.4057703240477544,0.34891599956978014,0.20973218812900452,0.0028913327554012016,0.008625915936241787
30-39,200530,0.4147608836583055,0.35546302298907895,0.2183463820874682,0.0020945549279695426,0.008852609310574354
40-49,153484,0.41287039691433636,0.3538544734304553,0.21881759662244923,0.001916400351779864,0.014303238712039904
50-54,60833,0.4069830519619286,0.34814985287590616,0.21715187480479345,0.003553185399751913,0.016634368182675458
55-59,51563,0.4046312278183969,0.3511626553924326,0.2226014778038516,0.005124073029594715,0.016301307419924898
60,294231,0.4350051490155694,0.38598244236671186,0.2608766581359544,0.003160961666825952,0.013338657306020883
