pattern,n,hit10_20d,hit5_10d,avg_ret20,win20,adverse5_high_ge_5pct,adverse10_high_ge_5pct,adverse20_high_ge_5pct
R1_model_consensus,471813,0.4923221700122718,0.6560374555173342,0.01372516089841445,0.5818915544929877,0.29087795376558084,0.4048341186020733,0.5350552019550119
R2_consensus_plus_extension,26391,0.5240801788488499,0.6527604107460877,-0.0023952378425931764,0.5588268727975446,0.4190822628926528,0.537759084536395,0.6485923231404646
R3_countertrend_upper_band,29489,0.5073756315914408,0.6268439078978603,0.00017247104916667255,0.5632947878870087,0.39665638034521344,0.5182271355420666,0.6291498524873682
R6_overheat_then_turn,61174,0.46026089515153495,0.6205741001078889,-0.013713612462373247,0.5180305358485631,0.432324190015366,0.556854219112695,0.6770196488704352
baseline,3881258,0.23702830370977657,0.36639331886723325,-0.009039868924358901,0.473949425675902,0.24836354604615307,0.39303622691405726,0.5423257098600506
