strategy,n,add_rate,hit10_20d,avg_ret20,median_ret20,stop5_rate20,win20
stage1_only,57721,0.0,0.4594688241714454,-0.007968045235959488,0.012006861063464824,0.6373416953968226,0.5357149044541848
stage1_plus_break_5d,57721,0.28048717104693266,0.41856516692365,-0.017874127534516462,0.003597122302158251,0.6813118275844147,0.5091561130264548
stage1_plus_break_10d,57721,0.5499731466883803,0.3926993641828797,-0.02595076599596471,-0.0035650623885918886,0.7094991424264999,0.4863221357911332
