cnt_60_above,n,rev5_drop3,rev10_drop5,down20_ge10,avg_ret20
1,10767,0.6052753784712548,0.538683012909817,0.3805145351537104,0.006622419287638578
2,11196,0.5990532332976063,0.5248302965344765,0.35396570203644157,0.008750041082721621
3,11725,0.5860127931769723,0.5129211087420043,0.33680170575692964,0.010941413169491905
4,12101,0.5666473845136766,0.49186017684488886,0.32137839847946453,0.010986043682284759
5,12546,0.547584887613582,0.47170412880599394,0.30671130240714173,0.012926282661707538
6,12940,0.5333075734157651,0.45741885625965994,0.2965996908809892,0.012461770131372896
7,13259,0.5274907609925333,0.45704804283882644,0.29187721547628026,0.01303678430595024
8,13501,0.5209243759721502,0.45011480631064366,0.2878305310717725,0.013711582518644324
9,13549,0.5129529854601815,0.4471916746623367,0.2820872389106207,0.01309053979104802
10,13680,0.5059941520467837,0.44239766081871346,0.27960526315789475,0.013479972601536683
11,13714,0.5027708910602304,0.44691556074084876,0.2781828788099752,0.013233884161420378
12,13685,0.5001096090610158,0.4373401534526854,0.2771647789550603,0.012000921913075318
13,13446,0.4981407109921166,0.43886657742079427,0.27621597501115575,0.011509321308057196
14,13133,0.4967638772557679,0.42496002436610064,0.2652097768978908,0.01205289010435339
15,12776,0.49733876017532874,0.42086725109580464,0.26181903569192233,0.012650155693937877
16,12454,0.4905251324875542,0.4137626465392645,0.25606230929821744,0.011741028505831407
17,11893,0.4835617590179097,0.4135205583116119,0.25510804675018917,0.01213362807724067
18,11399,0.48004210895692606,0.4138082287919993,0.2531801035178524,0.011618767227214817
19,10923,0.4826512862766639,0.40959443376361804,0.257987732307974,0.011526450110108345
20,10438,0.47269591875838285,0.41147729450086223,0.25732899022801303,0.010961066015791374
21,8116,0.49420896993592905,0.4322326269098078,0.26922129127649086,0.012036114016563543
22,7079,0.4884870744455432,0.4285916089843198,0.26811696567311766,0.01307933918313657
23,6435,0.5072261072261073,0.43620823620823623,0.2727272727272727,0.011002514109272271
24,5988,0.49766199064796257,0.4301937207748831,0.269873079492318,0.012264478931286902
25,5629,0.5119914727305027,0.45158998045834076,0.27873512169124176,0.009469201454397707
26,5354,0.519985057900635,0.4667538289129623,0.288195741501681,0.00825487922629236
27,5109,0.5200626345664514,0.4717165785868076,0.28929340379722057,0.007467930570457213
28,4916,0.5301057770545159,0.46826688364524005,0.29882017900732305,0.006530063145246377
29,4765,0.5521511017838405,0.4797481636935992,0.3036726128016789,0.005499453080071534
30,4515,0.5472868217054263,0.4808416389811739,0.3105204872646733,0.0069938372553519845
31,4312,0.562847866419295,0.4788961038961039,0.31006493506493504,0.008944204644774734
32,4162,0.5528592023065834,0.47260932244113407,0.30754444978375783,0.008525832261853909
33,3932,0.5406917599186165,0.4712614445574771,0.301119023397762,0.01222645713193295
34,3749,0.5412109895972259,0.465457455321419,0.3014137103227527,0.013928333258465528
35,3654,0.547071702244116,0.4731800766283525,0.3089764641488779,0.014216176831903427
36,3570,0.5467787114845938,0.4579831932773109,0.2893557422969188,0.01681876866811002
37,3408,0.5275821596244131,0.45422535211267606,0.28433098591549294,0.019303407917613338
38,3297,0.5295723384895359,0.4637549287230816,0.2896572641795572,0.0185734826080711
39,3197,0.5411323115420706,0.46418517360025024,0.29340006255864876,0.018688474914451577
40,3111,0.5358405657344906,0.4570877531340405,0.297653487624558,0.018231141873731278
41,3003,0.5318015318015318,0.45487845487845485,0.2997002997002997,0.021375902170834758
42,2874,0.5358385525400139,0.4659011830201809,0.30062630480167013,0.01931598603792298
43,2813,0.5211517952364024,0.44720938499822255,0.28794880910060433,0.021848436570591205
44,2729,0.506412605349945,0.4338585562477098,0.28105533162330526,0.021889306340076194
45,2631,0.5047510452299506,0.43519574306347397,0.282022044849867,0.022408994445263678
46,2562,0.5078064012490242,0.44769711163153786,0.2829820452771272,0.019755239227281438
47,2504,0.5059904153354633,0.4488817891373802,0.301517571884984,0.020801461247841595
48,2432,0.5074013157894737,0.4399671052631579,0.296875,0.018391614121348248
49,2379,0.5081967213114754,0.45060949978982767,0.2992854140395124,0.0170595016683429
50,2321,0.5049547608789315,0.44679017664799653,0.2912537699267557,0.01969525325606036
51,2273,0.5178178618565772,0.45314562252529694,0.2965244170699516,0.020363073676982025
52,2218,0.5342651036970244,0.4598737601442741,0.3128944995491434,0.018473074470898063
53,2205,0.5151927437641723,0.4639455782312925,0.3034013605442177,0.017130017071638855
54,2124,0.513653483992467,0.4397363465160075,0.2923728813559322,0.02353193409504606
55,2093,0.5121834687052078,0.44529383659818444,0.3029144768275203,0.02337295361772304
56,2011,0.5231228244654401,0.45698657384385877,0.3112879164594729,0.019654539194010532
57,2012,0.5149105367793241,0.455765407554672,0.31858846918489064,0.02102447839472578
58,2017,0.5294992563212693,0.4709965294992563,0.3173029251363411,0.02020024873736609
59,1956,0.5260736196319018,0.4601226993865031,0.31339468302658485,0.019362932946014304
60,1913,0.5462624150548876,0.48039728175640356,0.3240982749607946,0.01845032226860193
61,1909,0.5463593504452593,0.48611838658983764,0.3137768465165008,0.019702316335587958
62,1841,0.5475285171102662,0.46061922868006516,0.31395980445410104,0.019564986777761743
63,1799,0.5136186770428015,0.44691495275152865,0.3085047248471373,0.022904858250551295
64,1810,0.5116022099447514,0.43425414364640885,0.29668508287292816,0.02427943978096739
65,1760,0.49375,0.42329545454545453,0.29715909090909093,0.020855581338649995
66,1702,0.5211515863689776,0.4306698002350176,0.3202115158636898,0.017448842324344602
67,1653,0.5087719298245614,0.44464609800362975,0.3248638838475499,0.018001889120654074
68,1669,0.5248651887357699,0.45236668663870583,0.3145596165368484,0.014924071277694335
69,1626,0.522140221402214,0.45510455104551045,0.3148831488314883,0.016048170909619356
70,1545,0.515210355987055,0.45048543689320386,0.3145631067961165,0.015406517655871785
71,1497,0.5197060788243153,0.4515698062792251,0.3179692718770875,0.015064758690607749
