cnt60_bin,n,hit10_20d,hit5_10d,avg_ret20,win20,lift_vs_baseline
0-9,2503236,0.24429338664033276,0.3710353318664321,-0.00784600454717082,0.4748972929440133,1.0306506978991494
10-19,359827,0.20906157681330195,0.34608019965149917,-0.010010987739651919,0.4715932934437938,0.882011023752177
20-29,259516,0.21032614559410595,0.34977034171303506,-0.008535110416467357,0.47765070361750334,0.8873461198610044
30-39,200050,0.2187403149212697,0.3560409897525619,-0.008741382675927636,0.479775056235941,0.9228447046100487
40-49,153272,0.21895714807662195,0.35402421838300535,-0.014161176016761636,0.45973171877446634,0.9237595031887779
50-54,60803,0.21716033748334787,0.3480913770702104,-0.01662442370060336,0.4570498166208904,0.9161789292018242
55-59,51532,0.22250252270433904,0.35094698439804395,-0.016278778989858727,0.45895754094543195,0.9387171034931623
60,293022,0.2615708035574121,0.38645562449235893,-0.013171444105932045,0.47507013125294345,1.1035424861230327
