test_month,p_down_th,p_turn_th,train_n,train_hit10,train_stop5,train_avg_ret20,test_n,test_hit10,test_stop5,test_avg_ret20,test_baseline_hit10,test_baseline_stop5,test_baseline_avg_ret20,test_hit10_lift
2003-03,0.55,0.62,13315,0.4307923394667668,0.629590687194893,0.005803119945138046,990,0.41919191919191917,0.6181818181818182,-0.015110452578821593,0.26014963816999875,0.6071384766343677,-0.01678316931945859,1.6113492301611114
2003-04,0.55,0.62,14262,0.42946290842799045,0.6285934651521525,0.004301092269117614,1342,0.28688524590163933,0.7503725782414307,-0.05351588196434104,0.1627094972067039,0.6750465549348231,-0.045124317482307975,1.763174558502779
2003-05,0.55,0.62,14777,0.4144954997631454,0.6422142518779184,-0.0011019510455239937,746,0.15415549597855227,0.8847184986595175,-0.13631277397068056,0.07309432648799165,0.7071586030862049,-0.07956199239395068,2.1089939997446696
2003-06,0.55,0.62,13562,0.3880696062527651,0.6629553163250258,-0.014017005367399261,925,0.22378378378378377,0.8983783783783784,-0.10859821910493274,0.06900138696255201,0.7699953767914933,-0.07873236664672693,3.2431780524242835
2003-07,0.52,0.6,20367,0.35734276034762114,0.6706436883193401,-0.02179102534789518,1569,0.4722753346080306,0.7080943275971957,-0.05330596351310997,0.1999340151765094,0.5960629055317277,-0.04000813817183861,2.3621560052754798
2003-08,0.52,0.6,21271,0.3604908090827888,0.675661699026844,-0.02512942893926829,1069,0.1880261927034612,0.8755846585594013,-0.11198589502814629,0.06579250057510927,0.7861743731308949,-0.08302631907927287,2.8578666422445655
2003-09,0.52,0.6,21574,0.36168536200982665,0.6753963103735978,-0.025279727124678953,1273,0.42419481539670073,0.7093479968578161,-0.10679443220059323,0.1994693680656054,0.6343463579353594,-0.04363603205043619,2.1266163296671357
2003-10,0.52,0.6,20507,0.37387233627541816,0.6835714634027406,-0.0312160615082006,1941,0.6913961875321999,0.6501803194229778,0.07554475327891805,0.4086444007858546,0.5136433093211089,0.034513695778658,1.6919262473744698
2003-11,0.55,0.62,14157,0.4197216924489652,0.6981705163523345,-0.023585749344420436,1531,0.6355323318092749,0.46701502286087526,0.042113828661128824,0.3250732747135625,0.5114575006661337,0.00035517085009017314,1.9550433125247613
2003-12,0.55,0.62,15243,0.43764350849570294,0.6763104375779047,-0.019470115424542096,1846,0.1630552546045504,0.875406283856988,-0.11437199165861105,0.07825791085403198,0.741975728705909,-0.07321864879002968,2.08356257949032
2004-01,0.55,0.62,16776,0.40265855984740107,0.7049356223175965,-0.03109633901089074,786,0.43765903307888043,0.6170483460559797,0.02942433659600365,0.2176854015496249,0.4524658713565367,0.004884844925682171,2.010511637268009
2004-02,0.55,0.62,16909,0.39381394523626473,0.7143533029747472,-0.03283362987645684,492,0.1524390243902439,0.8841463414634146,-0.11914512975333984,0.041099251625567414,0.8124156545209177,-0.08998677561764029,3.7090462322533675
2004-03,0.55,0.62,17352,0.3865260488704472,0.7197441217150761,-0.03549460881181659,704,0.16761363636363635,0.8877840909090909,-0.11568924705048765,0.04775877769907923,0.7660629363553577,-0.07510016000940355,3.509588068181818
2004-04,0.55,0.62,17376,0.3794313996316759,0.727958103130755,-0.04143797458357697,649,0.8967642526964561,0.5670261941448382,0.13147354385287252,0.6099667774086379,0.42890365448504986,0.059454975517870746,1.4701854033858022
2004-05,0.55,0.62,17606,0.3932750198795865,0.7281608542542315,-0.03647208264861624,579,0.16234887737478412,0.772020725388601,-0.07372896035249392,0.14843448009277155,0.7060945754413092,-0.056175670204862964,1.093741004605642
2004-06,0.58,0.62,14330,0.38946266573621774,0.7296580600139567,-0.03953437002562573,1265,0.2798418972332016,0.6347826086956522,-0.0023829196766063294,0.12802008158142453,0.5267231461144232,-0.0032792361878441617,2.1859218786328762
2004-07,0.6,0.62,10520,0.3805133079847909,0.7300380228136882,-0.03531796673135102,307,0.7166123778501629,0.3485342019543974,0.08579367052608147,0.31243231535629196,0.2646740307559021,0.03335242053544851,2.2936563941311627
2004-08,0.58,0.62,14757,0.40130107745476723,0.7065799281696822,-0.03069678027906926,339,0.1976401179941003,0.7610619469026548,-0.04237991915201848,0.08178821590440874,0.51905644829007,-0.01718027318367383,2.416486480461871
2004-09,0.6,0.62,9710,0.3984552008238929,0.7107106076210092,-0.03151492565755324,223,0.5650224215246636,0.4484304932735426,0.03919487398192346,0.17149321266968326,0.41255656108597283,0.012220473817838078,3.2947217719512047
2004-10,0.6,0.62,9426,0.3988966687884575,0.7103755569700827,-0.030545192284433965,302,0.45695364238410596,0.4735099337748344,0.019603312190577576,0.18614376130198915,0.37014014466546113,0.0022650182705547485,2.45484263983884
2004-11,0.62,0.62,4810,0.4224532224532225,0.7041580041580041,-0.021905272186858955,34,0.3235294117647059,0.9117647058823529,-0.5874006855535441,0.10743243243243243,0.4185810810810811,-0.007523455003627396,3.0114687384387717
2004-12,0.6,0.62,8571,0.42678800606697004,0.6895344767238362,-0.023951875998634888,233,0.16738197424892703,0.7510729613733905,-0.07728955840157258,0.030163653866723712,0.662209862017328,-0.06076833567474307,5.549127933522053
2005-01,0.6,0.62,8254,0.43348679428156045,0.676399321541071,-0.020466519274493618,526,0.10836501901140684,0.7110266159695817,-0.057991638713971935,0.043407043407043405,0.5558675558675559,-0.036423191275792986,2.496484683262788
2005-02,0.6,0.62,8095,0.4056825200741198,0.6760963557751699,-0.0203227657930832,132,0.5757575757575758,0.6742424242424242,-0.01910395922419792,0.03445859128606471,0.6187361289568976,-0.044582077490376806,16.708680020544428
2005-03,0.58,0.62,11456,0.4143680167597765,0.6666375698324022,-0.017331096710004806,224,0.6160714285714286,0.6607142857142857,-0.0021150732231497477,0.19505577328911666,0.3506180283388604,0.01699501329524246,3.1584372930006626
2005-04,0.58,0.62,10950,0.41698630136986303,0.6609132420091324,-0.009063251925808239,355,0.4507042253521127,0.7718309859154929,-0.016934372959019683,0.23973509933774834,0.3434878587196468,0.010555178746923927,1.8800093377947242
2005-05,0.58,0.62,10182,0.3833235120801414,0.6660773914751522,-0.019987376712008984,254,0.4566929133858268,0.6732283464566929,-0.019333939639637133,0.09734615830339553,0.502028044964654,-0.030349076910797454,4.69143232095988
2005-06,0.58,0.62,9140,0.3473741794310722,0.6956236323851204,-0.029370512468193274,399,0.15538847117794485,0.6516290726817042,-0.046430757948992096,0.016683316683316685,0.5046953046953047,-0.032981336688541175,9.31400357180376
2005-07,0.58,0.62,8067,0.36804264286599725,0.6625759266146027,-0.015340199372764875,166,0.6807228915662651,0.6204819277108434,0.025801211341826936,0.07612874876414369,0.5347687575524552,-0.032577070124286935,8.941732297153985
2005-08,0.6,0.62,5215,0.37353787152444873,0.6659635666347076,-0.01762998779103807,157,0.21019108280254778,0.821656050955414,-0.12370354128875638,0.027555301296720063,0.6771548436308161,-0.06266467886694531,7.627972582813568
2005-09,0.6,0.62,5038,0.3813021040095276,0.6560142913854704,-0.013886737421359808,78,0.5641025641025641,0.6282051282051282,0.013984707207885588,0.08977446901686008,0.7335231005036129,-0.04537412111116808,6.283552220137587
2005-10,0.6,0.62,4630,0.40475161987041036,0.6308855291576674,-0.003058091674049537,331,0.29003021148036257,0.8368580060422961,-0.07979508544987043,0.06717724288840263,0.7550328227571116,-0.07492827507563896,4.317387838649045
2005-11,0.6,0.6,4930,0.349290060851927,0.639553752535497,-0.01963468925579644,665,0.15789473684210525,0.8421052631578947,-0.11944367615496419,0.05513619954053167,0.7567005798052729,-0.08137160743895712,2.863721804511278
2005-12,0.6,0.62,5014,0.3354607100119665,0.6705225368966893,-0.03162707564970105,467,0.39400428265524623,0.8137044967880086,-0.06399136587666766,0.17054183101515466,0.7362466265310359,-0.048800865755691744,2.310308739562168
2006-01,0.6,0.62,4539,0.3502974223397224,0.6957479621061908,-0.042254920584760956,423,0.7848699763593381,0.7612293144208038,0.035032491912032684,0.437962015239395,0.6192425793244627,0.015585461944356496,1.7920960015911866
2006-02,0.6,0.62,4655,0.36562835660580023,0.7245972073039743,-0.04367669115079424,1203,0.5270157938487116,0.600997506234414,0.002343114128165477,0.3500700355565133,0.49035664260316775,0.0021946078857528525,1.5054581664234818
2006-03,0.6,0.62,5712,0.40336134453781514,0.6971288515406162,-0.034526125776578355,700,0.13857142857142857,0.8471428571428572,-0.03877260541671223,0.049843932891143194,0.7731174404994148,-0.05238678656580612,2.7801062342745313
2006-04,0.6,0.62,6189,0.3675876555178543,0.723057036677977,-0.037662709827998554,538,0.5520446096654275,0.37732342007434944,0.05549732988347016,0.4130901287553648,0.3667381974248927,0.052098494093421974,1.3363781200212426
2006-05,0.6,0.62,6425,0.37883268482490273,0.7058365758754864,-0.032553641701125374,458,0.7882096069868996,0.40611353711790393,0.027159108196294097,0.7137510692899914,0.24818220701454236,0.06272551697804508,1.1043200366354284
2006-06,0.55,0.62,11630,0.41031814273430783,0.6808254514187446,-0.02399627688853537,35,0.5428571428571428,0.5714285714285714,0.01524056816514451,0.31087882307394504,0.6116918312040264,0.0004678369581524063,1.7462017434620172
2006-07,0.52,0.62,11443,0.41955780826706285,0.6755221532814821,-0.0216119236706275,1951,0.10046130189646335,0.8375192209123526,-0.08502882539316968,0.2559101028304887,0.5738365313261953,-0.033621085801103394,0.3925648139143906
2006-08,0.55,0.58,20671,0.37197039330462967,0.6742779739731992,-0.02308869037955817,3156,0.20152091254752852,0.629277566539924,0.002438878370314121,0.12747536151791472,0.5379939209726444,-0.002078282764452678,1.580861667289391
2006-09,0.55,0.58,23456,0.3491643929058663,0.6672493178717599,-0.019128200611495567,1631,0.3905579399141631,0.545677498467198,0.012484128853168942,0.19883720930232557,0.47864693446088796,-0.006271019327915356,1.9642095223753233
2006-10,0.55,0.58,24664,0.3477538112228349,0.660598443074927,-0.017529349255258144,2153,0.4198792382721784,0.5777984208081747,0.047028458534008236,0.3017215342796738,0.3978657001912816,0.03280919327065732,1.3916117696888715
2006-11,0.55,0.58,26146,0.3521762411076264,0.6526428516790331,-0.012328889780388957,673,0.4145616641901932,0.5765230312035661,-0.02598086168550027,0.16729957805907172,0.6123417721518988,-0.04051087470640216,2.4779600104180526
