code,asof_date
1001,2026-01-30
1306,2026-01-30
1308,2026-01-30
1332,2026-01-30
1357,2026-01-30
1375,2026-01-30
1414,2026-01-30
1417,2026-01-30
1419,2026-01-30
1478,2026-01-30
1489,2026-01-30
1514,2026-01-30
1518,2026-01-30
1540,2026-01-30
1545,2026-01-30
1605,2026-01-30
1655,2026-01-30
1662,2026-01-30
1671,2026-01-30
1711,2026-01-30
1717,2026-01-30
1719,2026-01-30
1720,2026-01-30
1721,2026-01-30
1801,2026-01-30
1802,2026-01-30
1803,2026-01-30
1808,2026-01-30
1812,2026-01-30
1833,2026-01-30
1860,2026-01-30
1861,2026-01-30
1878,2026-01-30
1885,2026-01-30
1893,2026-01-30
1898,2026-01-30
1911,2026-01-30
1925,2026-01-30
1928,2026-01-30
1929,2026-01-30
1942,2026-01-30
1951,2026-01-30
1963,2026-01-30
2002,2026-01-30
2120,2026-01-30
2127,2026-01-30
2157,2026-01-30
2160,2026-01-30
2168,2026-01-30
2170,2026-01-30
2201,2026-01-30
2212,2026-01-30
2222,2026-01-30
2264,2026-01-30
2267,2026-01-30
2269,2026-01-30
2281,2026-01-30
2282,2026-01-30
2296,2026-01-30
2317,2026-01-30
2327,2026-01-30
2331,2026-01-30
2371,2026-01-30
2389,2026-01-30
2411,2026-01-30
2413,2026-01-30
2432,2026-01-30
2433,2026-01-30
2471,2026-01-30
2492,2026-01-30
2501,2026-01-30
2502,2026-01-30
2503,2026-01-30
2510,2026-01-30
2531,2026-01-30
2579,2026-01-30
2585,2026-01-30
2587,2026-01-30
2670,2026-01-30
2678,2026-01-30
2695,2026-01-30
2700,2026-01-30
2726,2026-01-30
2730,2026-01-30
2768,2026-01-30
2782,2026-01-30
2784,2026-01-30
2801,2026-01-30
2802,2026-01-30
2806,2026-01-30
2809,2026-01-30
2811,2026-01-30
2871,2026-01-30
2897,2026-01-30
2914,2026-01-30
2931,2026-01-30
2980,2026-01-30
3003,2026-01-30
3036,2026-01-30
3038,2026-01-30
3048,2026-01-30
3063,2026-01-30
3064,2026-01-30
3086,2026-01-30
3088,2026-01-30
3092,2026-01-30
3097,2026-01-30
3099,2026-01-30
3105,2026-01-30
3110,2026-01-30
3116,2026-01-30
3132,2026-01-30
3133,2026-01-30
3167,2026-01-30
3173,2026-01-30
3182,2026-01-30
3186,2026-01-30
3197,2026-01-30
3234,2026-01-30
3242,2026-01-30
