code,asof_date
1001,2025-01-31
1306,2025-01-31
1308,2025-01-31
1332,2025-01-31
1357,2025-01-31
1375,2025-01-31
1414,2025-01-31
1417,2025-01-31
1419,2025-01-31
1478,2025-01-31
1489,2025-01-31
1514,2025-01-31
1518,2025-01-31
1540,2025-01-31
1545,2025-01-31
1605,2025-01-31
1655,2025-01-31
1662,2025-01-31
1671,2025-01-31
1711,2025-01-31
1717,2025-01-31
1719,2025-01-31
1720,2025-01-31
1721,2025-01-31
1801,2025-01-31
1802,2025-01-31
1803,2025-01-31
1808,2025-01-31
1812,2025-01-31
1833,2025-01-31
1860,2025-01-31
1861,2025-01-31
1878,2025-01-31
1885,2025-01-31
1893,2025-01-31
1898,2025-01-31
1911,2025-01-31
1925,2025-01-31
1928,2025-01-31
1929,2025-01-31
1942,2025-01-31
1951,2025-01-31
1963,2025-01-31
2002,2025-01-31
2120,2025-01-31
2127,2025-01-31
2157,2025-01-31
2160,2025-01-31
2168,2025-01-31
2170,2025-01-31
2201,2025-01-31
2212,2025-01-31
2222,2025-01-31
2264,2025-01-31
2267,2025-01-31
2269,2025-01-31
2281,2025-01-31
2282,2025-01-31
2296,2025-01-31
2317,2025-01-31
2327,2025-01-31
2331,2025-01-31
2371,2025-01-31
2389,2025-01-31
2411,2025-01-31
2413,2025-01-31
2432,2025-01-31
2433,2025-01-31
2471,2025-01-31
2492,2025-01-31
2501,2025-01-31
2502,2025-01-31
2503,2025-01-31
2510,2025-01-31
2531,2025-01-31
2579,2025-01-31
2585,2025-01-31
2587,2025-01-31
2670,2025-01-31
2678,2025-01-31
2695,2025-01-31
2700,2025-01-31
2726,2025-01-31
2730,2025-01-31
2768,2025-01-31
2782,2025-01-31
2784,2025-01-31
2801,2025-01-31
2802,2025-01-31
2806,2025-01-31
2809,2025-01-31
2811,2025-01-31
2871,2025-01-31
2897,2025-01-31
2914,2025-01-31
2931,2025-01-31
2980,2025-01-31
3003,2025-01-31
3036,2025-01-31
3038,2025-01-31
3048,2025-01-31
3063,2025-01-31
3064,2025-01-31
3086,2025-01-31
3088,2025-01-31
3092,2025-01-31
3097,2025-01-31
